Description,Manufacturer,Part Number,DC Power,Integrated Microinverter,Peak Output Power,Max Continuous Output Power,Length,Width,Thickness,Area,Weight,Landscape - Edge - Min,Landscape - Edge - Max,Portrait - Edge - Min,Portrait - Edge - Max,BRSID
SunPower A400-BLK,SunPower,SPR-A400-BLK-G-AC,400,IQ7AS-66-ACM-US,366,349,72.2,40,40,20.055555555555557,46.5,2,13,11,28,AC-MODULE-SunPower-SPR-A400-BLK-G-AC
SunPower M410-BLK,SunPower,SPR-M410-BLK-H-AC,410,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M410-BLK-H-AC
SunPower M415-BLK,SunPower,SPR-M415-BLK-H-AC,415,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M415-BLK-H-AC
SunPower M425-BLK,SunPower,SPR-M425-BLK-H-AC,425,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M425-BLK-H-AC
SunPower M435,SunPower,SPR-M435-H-AC,435,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M435-H-AC
SunPower M440,SunPower,SPR-M440-H-AC,440,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.77930556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M440-H-AC
SunPower X350-BLK,SunPower,SPR-X21-350-BLK-E-AC,350,IQ7XS-96-ACM-US,315,320,73.7,40.6,40,20.77930556,48,2,15,2,16,AC-MODULE-SunPower-SPR-X21-350-BLK-E-AC
SunPower X360,SunPower,SPR-X22-360-E-AC,360,IQ7XS-96-ACM-US,315,320,61.3,41.2,30,17.53861111111111,42.9,2,15,2,16,AC-MODULE-SunPower-SPR-X22-360-E-AC
SunPower X370,SunPower,SPR-X22-370-E-AC,370,IQ7XS-96-ACM-US,315,320,61.3,41.2,30,17.53861111111111,42.9,2,15,2,16,AC-MODULE-SunPower-SPR-X22-370-E-AC
SunPower E327,SunPower,SPR-E20-327-E-AC,327,IQ7XS-96-ACM-US,315,320,61.3,41.2,46,17.53861111111111,42.9,2,15,2,16,AC-MODULE-SunPower-SPR-E20-327-E-AC
SunPower X335-BLK,SunPower,SPR-X21-335-BLK-E-AC,335,IQ7XS-96-ACM-US,315,320,61.3,41.2,46,17.53861111111111,45.5,2,15,2,16,AC-MODULE-SunPower-SPR-X21-335-BLK-E-AC
SunPower A390,SunPower,SPR-A-390-G-AC,390,IQ7AS-66-ACM-US,366,349,72.2,40,40,20.055555555555557,46.5,2,13,11,28,AC-MODULE-SunPower-SPR-A-390-G-AC
SunPower A410,SunPower,SPR-A-410-G-AC,410,IQ7AS-66-ACM-US,366,349,72.2,40,40,20.055555555555557,46.5,2,13,11,28,AC-MODULE-SunPower-SPR-A-410-G-AC
SunPower A415,SunPower,SPR-A-415-G-AC,415,IQ7AS-66-ACM-US,366,349,72.2,40,40,20.055555555555557,46.5,2,13,11,28,AC-MODULE-SunPower-SPR-A-415-G-AC
SunPower A420,SunPower,SPR-A-420-G-AC,420,IQ7AS-66-ACM-US,366,349,72.2,40,40,20.055555555555557,46.5,2,13,11,28,AC-MODULE-SunPower-SPR-A-420-G-AC
SunPower A390-BLK,SunPower,SPR-A-390-BLK-G-AC,390,IQ7AS-66-ACM-US,366,349,72.2,40,40,20.055555555555557,46.5,2,13,11,28,AC-MODULE-SunPower-SPR-A-390-BLK-G-AC
SunPower M430,SunPower,SPR-M-430-H-AC,430,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M-430-H-AC
SunPower M425,SunPower,SPR-M-425-H-AC,425,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M-425-H-AC
SunPower M420,SunPower,SPR-M-420-H-AC,420,IQ7HS-66-M-US,384,384,73.7,40.6,40,20.779305555555556,48,2,13,11,28,AC-MODULE-SunPower-SPR-M-420-H-AC
