Description,Manufacturer,Part Number,Attachment System,Attachment Type,Compatible Roof Types,BRSID
FLASHKIT SFM TRIM SWITCHBLADE COMP DARK,Unirac,004201D,SFM,Trim Flashkit,Comp Shingle,ATTACHMENT-Unirac-004201D
FLASHKIT SFM SLIDER SWITCHBLADE COMP DARK,Unirac,004271D,SFM,Roof Attachment,Comp Shingle,ATTACHMENT-Unirac-004271D
FLASHKIT SFM TRIM COMP DARK,Unirac,004200D,SFM,Trim Flashkit,Comp Shingle,ATTACHMENT-Unirac-004200D
FLASHKIT SFM SLIDER COMP DARK,Unirac,004270D,SFM,Roof Attachment,Comp Shingle,ATTACHMENT-Unirac-004270D
SFM MICRORAIL 2” 30MM,Unirac,253020U,SFM,MicroRail,Comp Shingle,ATTACHMENT-Unirac-253020U
SFM SPLICE 6.5” 30MM,Unirac,253010U,SFM,MicroRail Splice,Comp Shingle,ATTACHMENT-Unirac-253010U
SFM MICRORAIL 2” 32-40MM,Unirac,250020U,SFM,MicroRail,Comp Shingle,ATTACHMENT-Unirac-250020U
SFM SPLICE 6.5” 32-40MM,Unirac,250010U,SFM,MicroRail Splice,Comp Shingle,ATTACHMENT-Unirac-250010U
S-5! SOLARFOOT,S-5!,SolarFoot,"Solarmount, Pegasus, XR",Base,"Trapezoidal Metal, Standing Seam",ATTACHMENT-S-5!-SolarFoot
S-5! PROTEABRACKET,S-5!,ProteaBracket,"Solarmount, Pegasus, XR",Base,Trapezoidal Metal,ATTACHMENT-S-5!-ProteaBracket
S-5! CORRUBRACKET,S-5!,CorruBracket,"Solarmount, Pegasus, XR",Base,Corrugated Metal,ATTACHMENT-S-5!-CorruBracket
S-5! CORRUBRACKET 100T,S-5!,CorruBracket 100T,"Solarmount, Pegasus, XR",Base,Corrugated Metal,ATTACHMENT-S-5!-CorruBracket-100T
S-5! S-5-E CLAMP,S-5!,S-5-E,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-E
S-5! S-5-H CLAMP,S-5!,S-5-H,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-H
S-5! S-5-H90 CLAMP,S-5!,S-5-H90,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-H90
S-5! S-5-N1.5 CLAMP,S-5!,S-5-N1.5,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-N1.5
S-5! S-5-NH1.5 CLAMP,S-5!,S-5-NH1.5,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-NH1.5
S-5! S-5-Q CLAMP,S-5!,S-5-Q,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-Q
S-5! S-5-S CLAMP,S-5!,S-5-S,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-S
S-5! S-5-T CLAMP,S-5!,S-5-T,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-T
S-5! S-5-U CLAMP,S-5!,S-5-U,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-U
S-5! S-5-V CLAMP,S-5!,S-5-V,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-V
S-5! S-5-Z CLAMP,S-5!,S-5-Z,"Solarmount, Pegasus, XR",Clamp,Standing Seam,ATTACHMENT-S-5!-S-5-Z
