Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
EATON CUTLER HAMMER TAN 15a/15a duplex 1 space,Cutler Hammer,CHT1515,"15, 15",1,"1, 1",Duplex,BREAKER-Cutler Hammer-CHT1515,,,,,,,,,
EATON CUTLER HAMMER TAN 15a/20a duplex 1 space,Cutler Hammer,CHT1520,"15, 20",1,"1, 1",Duplex,BREAKER-Cutler Hammer-CHT1520,,,,,,,,,
EATON CUTLER HAMMER TAN 20a/20a duplex 1 space,Cutler Hammer,CHT2020,"20, 20",1,"1, 1",Duplex,BREAKER-Cutler Hammer-CHT2020,,,,,,,,,
"EATON CUTLER HAMMER TAN 70A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF270,70,1,1,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF270,,,,,,,,,
"EATON CUTLER HAMMER TAN 60A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF260,60,1,1,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF260,,,,,,,,,
"EATON CUTLER HAMMER TAN 50A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF250,50,1,1,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF250,,,,,,,,,
"EATON CUTLER HAMMER TAN 45A/2p 2 space breaker, Mechanical Trip Flag",Cutler Hammer,CHF245,45,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF245,,,,,,,,,
"EATON CUTLER HAMMER TAN 40A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF240,40,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF240,,,,,,,,,
"EATON CUTLER HAMMER TAN 35A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF235,35,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF235,,,,,,,,,
"EATON CUTLER HAMMER TAN 30A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF230,30,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF230,,,,,,,,,
"EATON CUTLER HAMMER TAN 25A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF225,25,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF225,,,,,,,,,
"EATON CUTLER HAMMER TAN 20A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF220,20,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF220,,,,,,,,,
"EATON CUTLER HAMMER TAN 15A/2P 2 Space breaker, Mechanical Trip Flag",Cutler Hammer,CHF215,15,2,2,Mechanical Trip Flag,BREAKER-Cutler Hammer-CHF215,,,,,,,,,
