Description,Manufacturer,Part Number,Conduit Designation,BRSID,,,,
AFC Cable Systems - 1/2 in FMC Conduit-Conduit,AFC Cable Systems,5602-60-00,1/2-FMC-Conduit,CONDUIT-AFC-Cable-Systems-5602-60-00,,,,
AFC Cable Systems - 1-1/4 in EMT Compression Connector-Compression Connector,AFC Cable Systems,AA125RKON,1-1/4-EMT-Compression-Connector,CONDUIT-AFC-Cable-Systems-AA125RKON,,,,
AFC Cable Systems - 1-1/4 in EMT Set Screw Connector-Set Screw Connector,AFC Cable Systems,SCI125,1-1/4-EMT-Set-Screw-Connector,CONDUIT-AFC-Cable-Systems-SCI125,,,,
AFC Cable Systems - 1-1/4 in FMC Conduit-Conduit,AFC Cable Systems,5605-40-00,1-1/4-FMC-Conduit,CONDUIT-AFC-Cable-Systems-5605-40-00,,,,
AFC Cable Systems - 1 in FMC Conduit-Conduit,AFC Cable Systems,5605-24-00,1-FMC-Conduit,CONDUIT-AFC-Cable-Systems-5605-24-00,,,,
AFC Cable Systems - 2 in EMT Compression Coupling-Compression Coupling,AFC Cable Systems,CK200RKON,2-EMT-Compression-Coupling,CONDUIT-AFC-Cable-Systems-CK200RKON,,,,
AFC Cable Systems - 2 in FMC Conduit-Conduit,AFC Cable Systems,5607-22-00,2-FMC-Conduit,CONDUIT-AFC-Cable-Systems-5607-22-00,,,,
AFC Cable Systems - 2 in RMC Conduit-Conduit,AFC Cable Systems,GALV-2,2-RMC-Conduit,CONDUIT-AFC-Cable-Systems-GALV-2,,,,
AFC Cable Systems - 3/4 in EMT Compression Connector-Compression Connector,AFC Cable Systems,RCC75ICKON,3/4-EMT-Compression-Connector,CONDUIT-AFC-Cable-Systems-RCC75ICKON,,,,
AFC Cable Systems - 3/4 in FMC Conduit-Conduit,AFC Cable Systems,5603-60-00,3/4-FMC-Conduit,CONDUIT-AFC-Cable-Systems-5603-60-00,,,,
AFC Cable Systems - 3/4 in IMC Conduit-Conduit,AFC Cable Systems,IMC-3/4,3/4-IMC-Conduit,CONDUIT-AFC-Cable-Systems-IMC-3/4,,,,
