Description,Manufacturer,Part Number,Connector Type,BRSID
Appleton 2 in 2-Screw Clamp Connector,Appleton,C-750,2-Screw Clamp Connector,CONNECTOR-Appleton-C-750
Appleton 1-1/4 in 2-Screw Clamp Connector,Appleton,C1251R,2-Screw Clamp Connector,CONNECTOR-Appleton-C1251R
Appleton 2 in 2-Screw Clamp Connector,Appleton,C2001R,2-Screw Clamp Connector,CONNECTOR-Appleton-C2001R
Appleton 1-1/2 in 2-Screw Clamp Connector,Appleton,C1500,2-Screw Clamp Connector,CONNECTOR-Appleton-C1500
Appleton 1/2 in 2-Screw Clamp Connector,Appleton,C-500,2-Screw Clamp Connector,CONNECTOR-Appleton-C-500
Appleton 1-1/4 in 2-Screw Clamp Connector,Appleton,C-1250,2-Screw Clamp Connector,CONNECTOR-Appleton-C-1250
Appleton 2 in 2-Screw Clamp Connector,Appleton,C-2000,2-Screw Clamp Connector,CONNECTOR-Appleton-C-2000
Appleton 1-1/4 in SE Cable Connector,Appleton,WC1252N,SE Cable Connector,CONNECTOR-Appleton-WC1252N
Appleton 2 in SE Cable Connector,Appleton,WC2004,SE Cable Connector,CONNECTOR-Appleton-WC2004
Arlington 3/8 in Snap-In MC Cable Connector,Arlington,38A,MC Cable Connector,CONNECTOR-Arlington-38A
Arlington 1/2 in Snap-In MC Cable Connector,Arlington,38RAST,MC Cable Connector,CONNECTOR-Arlington-38RAST
Arlington 1/2 in Snap-In MC Cable Connector,Arlington,40AST,MC Cable Connector,CONNECTOR-Arlington-40AST
Arlington 3/4 in Snap-in Bushing,Arlington,4401,Knockout Insulating Bushing,CONNECTOR-Arlington-4401
Arlington 2 in Cable Clamp Connector,Arlington,849S,Cable Connector,CONNECTOR-Arlington-849S
Arlington 1-1/2 in Cable Clamp Connector,Arlington,848S,Cable Connector,CONNECTOR-Arlington-848S
Arlington 1-1/4 in Cable Clamp Connector,Arlington,844S,Cable Connector,CONNECTOR-Arlington-844S
Arlington 1 in Cable Clamp Connector,Arlington,843S,Cable Connector,CONNECTOR-Arlington-843S
Arlington 2 in 2-Screw Clamp Connector,Arlington,849S,2-Screw Clamp Connector,CONNECTOR-Arlington-849S
Arlington 2 in 2-Screw Clamp Connector,Arlington,849,2-Screw Clamp Connector,CONNECTOR-Arlington-849
Arlington 1 in 2-Screw Clamp Connector,Arlington,843S,2-Screw Clamp Connector,CONNECTOR-Arlington-843S
Arlington 1 in 2-Screw Clamp Connector,Arlington,843,2-Screw Clamp Connector,CONNECTOR-Arlington-843
Arlington 3/4 in 2-Screw Clamp Connector,Arlington,842,2-Screw Clamp Connector,CONNECTOR-Arlington-842
Arlington 1/2 in 2-Screw Clamp Connector,Arlington,841,2-Screw Clamp Connector,CONNECTOR-Arlington-841
Arlington 1-1/2 in 2-Screw Clamp Connector,Arlington,8405,2-Screw Clamp Connector,CONNECTOR-Arlington-8405
Arlington 1/2 in 2-Screw Clamp Connector,Arlington,840,2-Screw Clamp Connector,CONNECTOR-Arlington-840
Arlington 3/4 in 2-Screw Clamp Connector,Arlington,8402,2-Screw Clamp Connector,CONNECTOR-Arlington-8402
Arlington 3/4 in 2-Screw Clamp Connector,Arlington,842ST,2-Screw Clamp Connector,CONNECTOR-Arlington-842ST
Arlington 1-1/2 in 2-Screw Clamp Connector,Arlington,848S,2-Screw Clamp Connector,CONNECTOR-Arlington-848S
Arlington 1/2 in Strain Relief Connector,Arlington,LPCG50,Strain Relief Connector,CONNECTOR-Arlington-LPCG50
Arlington 1/2 in Strain Relief Connector,Arlington,LPCG503,Strain Relief Connector,CONNECTOR-Arlington-LPCG503
Arlington 1/2 in Strain Relief Connector,Arlington,LPCG507,Strain Relief Connector,CONNECTOR-Arlington-LPCG507
Arlington 1/2 in Strain Relief Connector,Arlington,LPCG507BL,Strain Relief Connector,CONNECTOR-Arlington-LPCG507BL
Arlington 3/4 in Strain Relief Connector,Arlington,LPCG753,Strain Relief Connector,CONNECTOR-Arlington-LPCG753
Arlington 3/4 in Strain Relief Connector,Arlington,LPCG754,Strain Relief Connector,CONNECTOR-Arlington-LPCG754
Arlington 3/4 in Strain Relief Connector,Arlington,LPCG757,Strain Relief Connector,CONNECTOR-Arlington-LPCG757
Arlington 3/4 in Strain Relief Connector,Arlington,LPCG757BL,Strain Relief Connector,CONNECTOR-Arlington-LPCG757BL
Arlington 3/4 in Strain Relief Connector,Arlington,LPCG757Z,Strain Relief Connector,CONNECTOR-Arlington-LPCG757Z
Arlington 1/2 in Strain Relief Connector,Arlington,LTMC50,Strain Relief Connector,CONNECTOR-Arlington-LTMC50
Arlington 3/4 in Non-Metallic Cable Connector,Arlington,NM75,Non-Metallic Cable Connector,CONNECTOR-Arlington-NM75
"Arlington 1/2 in Non-Metallic Cable Connector, Button Style",Arlington,NM94,Non-Metallic Cable Connector,CONNECTOR-Arlington-NM94
"Arlington 3/4 in Non-Metallic Cable Connector, Button Style",Arlington,NM95,Non-Metallic Cable Connector,CONNECTOR-Arlington-NM95
"Arlington 1 in Non-Metallic Cable Connector, Button Style",Arlington,NM96,Non-Metallic Cable Connector,CONNECTOR-Arlington-NM96
"Arlington 1 in Strain Relief Connector, Non-Metallic, 5 Hole",Arlington,NMPV100,Strain Relief Connector,CONNECTOR-Arlington-NMPV100
"Arlington 3/4 in Strain Relief Connector, Non-Metallic, 5 Hole",Arlington,NMPV75,Strain Relief Connector,CONNECTOR-Arlington-NMPV75
"Arlington 3/4 in Strain Relief Connector, Non-Metallic, For UF Cable",Arlington,NMUF75,Strain Relief Connector,CONNECTOR-Arlington-NMUF75
Arlington 2 in SE Cable Connector,Arlington,WC2001,SE Cable Connector,CONNECTOR-Arlington-WC2001
Arlington 1-1/2 in SE Cable Connector,Arlington,WTC150,SE Cable Connector,CONNECTOR-Arlington-WTC150
Bridgeport 1/2 in Non-Metallic Cable Connector,Bridgeport,616-NMD,Non-Metallic Cable Connector,CONNECTOR-Bridgeport-616-NMD
Bridgeport 3/4 in Non-Metallic Cable Connector,Bridgeport,617-NMD,Non-Metallic Cable Connector,CONNECTOR-Bridgeport-617-NMD
Bridgeport 3/4 in Strain Relief Connector,Bridgeport,771-52,Strain Relief Connector,CONNECTOR-Bridgeport-771-52
Bridgeport 3/4 in Snap-in Bushing,Bridgeport,9792,Knockout Insulating Bushing,CONNECTOR-Bridgeport-9792
Bridgeport 2 in Snap-in Bushing,Bridgeport,9796,Knockout Insulating Bushing,CONNECTOR-Bridgeport-9796
Bridgeport 1-1/4 in Snap-in Bushing,Bridgeport,9795,Knockout Insulating Bushing,CONNECTOR-Bridgeport-9795
