Description,Manufacturer,Part Number,Consumable Type,Consumable Size,BRSID
"3M Corrosion Protection Tape, Scotchwrap, 2 in x 100 ft",3M,7000005812,Corrosion Protection Tape,"Scotchwrap, 2 in x 100 ft",CONSUMABLES-3M-7000005812
"3M Corrosion Protection Tape, Temflex, 2 in x 100 ft",3M,7000005813,Corrosion Protection Tape,"Temflex, 2 in x 100 ft",CONSUMABLES-3M-7000005813
"3M Corrosion Protection Tape, 2 in x 100 ft",3M,1100P-2X100FT,Corrosion Protection Tape,2 in x 100 ft,CONSUMABLES-3M-1100P-2X100FT
"3M Corrosion Protection Tape, 100 Ft",3M,1100UP-2X100FT,Corrosion Protection Tape,100 Ft,CONSUMABLES-3M-1100UP-2X100FT
"3M Corrosion Protection Tape, Black",3M,50-UNPRINTED-2x100FT-BULK,Corrosion Protection Tape,Black,CONSUMABLES-3M-50-UNPRINTED-2x100FT-BULK
"3M Corrosion Protection Tape, 100 Ft",3M,50UP-4X100FT-K,Corrosion Protection Tape,100 Ft,CONSUMABLES-3M-50UP-4X100FT-K
"3M Corrosion Protection Tape, 100 Ft",3M,51-UNPRINTED-4x100FT,Corrosion Protection Tape,100 Ft,CONSUMABLES-3M-51-UNPRINTED-4x100FT
3M Corrosion Protection Tape,3M,51UP-4X100FT,Corrosion Protection Tape,,CONSUMABLES-3M-51UP-4X100FT
3M Corrosion Protection Tape,3M,SCOTCHKOTEFD,Corrosion Protection Tape,,CONSUMABLES-3M-SCOTCHKOTEFD
"3M Duct Seal, 1 lb",3M,T6-202-1,Duct Seal,1 lb,CONSUMABLES-3M-T6-202-1
3M Expanding Foam,3M,7100006734,Expanding Foam,,CONSUMABLES-3M-7100006734
"3M Expanding Foam, 12 oz",3M,FB-FOAM,Expanding Foam,12 oz,CONSUMABLES-3M-FB-FOAM
3M Fire Barrier Putty,3M,MP+Stick,Fire Barrier Putty,,CONSUMABLES-3M-MP+Stick
3M Fire Barrier Putty,3M,"MPP+7""x7""",Fire Barrier Putty,,"CONSUMABLES-3M-MPP+7""x7"""
3M Fire Barrier Sealant,3M,CP-25WB+,Fire Barrier Sealant,,CONSUMABLES-3M-CP-25WB+
"3M Foil Tape, Silver",3M,3311-50A,Foil Tape,Silver,CONSUMABLES-3M-3311-50A
"3M Duct Tape, Heavy Duty",3M,3939,Duct Tape,Heavy Duty,CONSUMABLES-3M-3939
"3M Duct Tape, Silver",3M,7000028933,Duct Tape,Silver,CONSUMABLES-3M-7000028933
"3M Duct Tape, Black",3M,DT18SL,Duct Tape,Black,CONSUMABLES-3M-DT18SL
"American Polywater Wipes, 72 Count",American Polywater,HTC-D72,Wipes,72 Count,CONSUMABLES-American-Polywater-HTC-D72
"American Polywater Wire Lubricant, 1 qt",American Polywater,J-35,Wire Lubricant,1 qt,CONSUMABLES-American-Polywater-J-35
"Appleton Duct Seal, 1 lb",Appleton,DC10,Duct Seal,1 lb,CONSUMABLES-Appleton-DC10
"Arlington Duct Seal, 2 lb",Arlington,DSC1,Duct Seal,2 lb,CONSUMABLES-Arlington-DSC1
"Arlington Duct Seal, 5 lb",Arlington,DSC5,Duct Seal,5 lb,CONSUMABLES-Arlington-DSC5
"Brady Label Printer Tape, 1 in",Brady,M21-1000-427,Label Printer Tape,1 in,CONSUMABLES-Brady-M21-1000-427
"Brady Label Printer Tape, 1/2 in x 21 ft",Brady,M21-500-430,Label Printer Tape,1/2 in x 21 ft,CONSUMABLES-Brady-M21-500-430
"Brady Label Printer Tape, 1/2 in x 21 ft",Brady,M21-500-423,Label Printer Tape,1/2 in x 21 ft,CONSUMABLES-Brady-M21-500-423
