Description,Manufacturer,Part Number,Watts,Vmp,Imp,Voc,Isc,Temperature Coefficient of Pmp,Temperature Coefficient of Voc,Temperature Coefficient Isc,Length,Width,Thickness,Area,Weight,Landscape - Edge - Min,Landscape - Edge - Max,Portrait - Edge - Min,Portrait - Edge - Max,BRSID
Aptos 370 (SPR U370),Aptos,DNA-120-BF26-370W,370,34.5,10.72,41.4,11.26,-0.36,-0.28,0.45,69.1,40.9,35,19.62631944444444,42.9,1,10,1,17,DC-MODULE-Aptos-DNA-120-BF26-370W
Canadian Solar 390 (SPR U390),Canadian Solar,CS3N-390MS,390,36.8,10.6,44.1,11.38,-0.34,-0.26,0.05,76.4,41.3,35,21.91,49.6,1,10,1,18,DC-MODULE-Canadian-Solar-CS3N-390MS
Canadian Solar 395 (SPR U395),Canadian Solar,CS3N-395MS,395,37,10.68,44.3,11.44,-0.34,-0.26,0.05,76.4,41.3,35,21.91,49.6,1,10,1,18,DC-MODULE-Canadian-Solar-CS3N-395MS
CertainTeed 365,CertainTeed,CT365HC11-06,365,33.96,10.75,40.7,11.36,-0.36,-0.29,0.05,68.97,40.98,35,19.627712499999998,45.19,1,10,1,17,DC-MODULE-CertainTeed-CT365HC11-06
CertainTeed 370,CertainTeed,CT370HC11-06,370,34.06,10.87,40.8,11.51,-0.36,-0.29,0.05,68.97,40.98,35,19.627712499999998,45.19,1,10,1,17,DC-MODULE-CertainTeed-CT370HC11-06
Heliene 300,Heliene,300 60M-HBLK,300,33.139,9.127,39.83,9.59,-0.39,-0.31,0.045,64.96,39.06,40,14.54,43.9,1,10,1,16,DC-MODULE-Heliene-300-60M-HBLK
Hyundai 270,Hyundai,HiS-S270RG,270,31.4,8.6,38.2,9.2,-0.4,-0.29,0.039,64.56,39.29,35,14.51,41.2,1,10,1,16,DC-MODULE-Hyundai-HiS-S270RG
Jinko 310,Jinko,JKM 310M-60L,310,33,9.4,40.5,9.92,-0.37,-0.28,0.048,64.97,39.06,40,14.54,40.8,1,10,10,16,DC-MODULE-Jinko-JKM-310M-60L
Jinko 315,Jinko,JKM 315-60L,315,31.2,7.56,37.6,8.33,-0.37,-0.28,0.048,64.96,39.06,35,14.51,41.9,1,10,10,16,DC-MODULE-Jinko-JKM-315-60L
Jinko 320,Jinko,JKM 320M-60HL,320,33.4,9.59,40.9,10.15,-0.37,-0.28,0.048,64.97,39.06,35,14.54,41.9,1,10,10,16,DC-MODULE-Jinko-JKM-320M-60HL
Jinko Solar 375,Jinko,JKM375M-6RL3-B,375,36.8,10.19,44.12,11.01,-0.35,-0.28,0.048,73.03,40.51,35,20.54,47.4,4,10,11,17,DC-MODULE-Jinko-JKM375M-6RL3-B
Jinko Solar 380,Jinko,JKM380M-6RL3-B,380,33.57,10.3,44.22,11.12,-0.35,-0.28,0.048,73.03,40.51,35,20.54,47.4,4,10,11,17,DC-MODULE-Jinko-JKM380M-6RL3-B
Jinko Solar 385,Jinko,JKM385M-6RL3-B,385,37.02,10.4,44.34,11.22,-0.35,-0.28,0.048,73.03,40.51,35,20.54,47.4,4,10,11,17,DC-MODULE-Jinko-JKM385M-6RL3-B
Jinko Solar 390,Jinko,JKM390M-72HBL-V,390,39.64,9.84,48.6,10.46,-0.35,-0.29,0.048,79.06,39.45,40,21.66,49.6,1,10,1,19,DC-MODULE-Jinko-JKM390M-72HBL-V
Qcells 290,Qcells,Q.PEAK BLK-G4.1,290,31.96,9.07,39.19,9.63,-0.39,-0.28,0.04,65.7,39.4,32,14.69,41.45,1,10,10,20,DC-MODULE-Qcells-Q.PEAK-BLK-G4.1
Qcells 365 (SPR U365),Qcells,Q.PEAK DUO BLK ML-G10+ 365,365,33.76,10.37,41.11,10.97,-0.34,-0.27,0.04,67.6,41.1,32,19.294166666666666,43.8,1,12,10,28,DC-MODULE-Qcells-Q.PEAK-DUO-BLK-ML-G10+-365
Qcells 395,Qcells,Q.PEAK DUO BLK ML-G10+ 395,395,36.88,10.71,45.27,11.1,-0.34,-0.27,0.04,74,41.1,32,21.120833333333334,48.5,1,12,1,26,DC-MODULE-Qcells-Q.PEAK-DUO-BLK-ML-G10+-395
Qcells 400,Qcells,Q.PEAK DUO BLK ML-G10+ 400,400,37.13,10.77,45.3,11.14,-0.34,-0.27,0.04,74,41.1,32,21.120833333333334,48.5,1,12,1,26,DC-MODULE-Qcells-Q.PEAK-DUO-BLK-ML-G10+-400
