Description,Manufacturer,Part Number,Disconnect Class,Disconnect Duty,Disconnect Rating,BRSID
"Square D 200A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,DU224RB,Non-Fusible,General,200,DISCONNECT-Square D-DU224RB
"Square D 100A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,DU323RB,Non-Fusible,General,100,DISCONNECT-Square D-DU323RB
"Square D 60A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,DU222RB,Non-Fusible,General,60,DISCONNECT-Square D-DU222RB
"Square D 30A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,DU221RB,Non-Fusible,General,30,DISCONNECT-Square D-DU221RB
"Square D 200A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,D224NRB,Fusible,General,200,DISCONNECT-Square D-D224NRB
"Square D 100A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,D223NRB,Fusible,General,100,DISCONNECT-Square D-D223NRB
"Square D 60A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,D222NRB,Fusible,General,60,DISCONNECT-Square D-D222NRB
"Square D 30A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Square D,D221NRB,Fusible,General,30,DISCONNECT-Square D-D221NRB
"Eaton 200A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG224URK,Non-Fusible,General,200,DISCONNECT-Eaton-DG224URK
"Eaton 100A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG223URB,Non-Fusible,General,100,DISCONNECT-Eaton-DG223URB
"Eaton 60A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG222URB,Non-Fusible,General,60,DISCONNECT-Eaton-DG222URB
"Eaton 30A Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG221URB,Non-Fusible,General,30,DISCONNECT-Eaton-DG221URB
"Eaton 200A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG224NRK,Fusible,General,200,DISCONNECT-Eaton-DG224NRK
"Eaton 100A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG223NRB,Fusible,General,100,DISCONNECT-Eaton-DG223NRB
"Eaton 60A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG222NRB,Fusible,General,60,DISCONNECT-Eaton-DG222NRB
"Eaton 30A Safety Switch, Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DG221NRB,Fusible,General,30,DISCONNECT-Eaton-DG221NRB
"Eaton 100A Safety Switch, Fusible, Lockable, Line Shield, 1 PH/3W, NEMA 3R",Eaton,DG223NRB-00PV,Fusible,General,100,DISCONNECT-Eaton-DG223NRB-00PV
"Eaton 60A Safety Switch, Fusible, Lockable, Line Shield, 1 PH/3W, NEMA 3R",Eaton,DG222NRB-00PV,Fusible,General,60,DISCONNECT-Eaton-DG222NRB-00PV
"Eaton 200A Heavy Duty Safety Switch, Non-Fusible, Lockable, 1 PH/3W, NEMA 3R",Eaton,DH264URK,Non-Fusible,Heavy,200,DISCONNECT-Eaton-DH264URK
