Description,Manufacturer,Part Number,Electrical Box Type,Electrical Box Use,BRSID
"Appleton 4-11/16 in Square Cover, 2-Gang, Steel, Flat blank",Appleton,8487,Box Cover,Indoor,ELECTRICAL-BOX-Appleton-8487
"Appleton Metallic Utility Box, 2-Gang, Steel",Appleton,4SJDEK,Utility Box,Indoor,ELECTRICAL-BOX-Appleton-4SJDEK
"Appleton Metallic Utility Box, 2-Gang, Steel",Appleton,4SEK,Utility Box,Indoor,ELECTRICAL-BOX-Appleton-4SEK
"EGS Switch Box, 4-Gang, Steel",Appleton,4G5075S,Switch Box,Indoor,ELECTRICAL-BOX-Appleton-4G5075S
"BWF Weatherproof Outlet Box, 1-Gang, 3-Hole, 3/4 in Outlets",BWF,B-75V,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-B-75V
"BWF Weatherproof Outlet Box, 2-Gang, 3-Hole, 3/4 in Outlets",BWF,TGB-75V,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-TGB-75V
"BWF Weatherproof Outlet Box, 2-Gang, 5-Hole, 1 in Outlets",BWF,DTB100V,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-DTB100V
"BWF Weatherproof Outlet Box, 2-Gang, 5-Hole, 1/2 in Outlets",BWF,TGB-55V,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-TGB-55V
"BWF Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",BWF,TGB75-5V,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-TGB75-5V
"BWF Weatherproof Outlet Box, 2-Gang, 6-Hole, 3/4 in Outlets",BWF,TGB75-6XV,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-TGB75-6XV
"Orbit Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",BWF,TGB-75,Outlet Box,Outdoor,ELECTRICAL-BOX-BWF-TGB-75
"BWF Weatherproof Wall Plate, 1-Gang, Blank, Steel",BWF,BC-1V,Wall Plate,Outdoor,ELECTRICAL-BOX-BWF-BC-1V
"BWF Weatherproof Wall Plate, 2-Gang, Blank, Steel",BWF,BC-2V,Wall Plate,Outdoor,ELECTRICAL-BOX-BWF-BC-2V
"Eaton 4-11/16 in Square Cover, 2-Gang, Steel, Flat blank",Eaton,TP568,Box Cover,Indoor,ELECTRICAL-BOX-Eaton-TP568
"Eaton Square Cover, 4 in, 2-Gang, Steel, Flat blank",Eaton,TP472,Box Cover,Indoor,ELECTRICAL-BOX-Eaton-TP472
"Eaton Square Extension Ring, 4 in, 2-Gang, Steel",Eaton,TP428,Extension Ring,Indoor,ELECTRICAL-BOX-Eaton-TP428
"Eaton Outlet Box, 4 in Square, Steel",Eaton,TP404,Outlet Box,Indoor,ELECTRICAL-BOX-Eaton-TP404
"Eaton Outlet Box, 4-11/16 in Square, 2-Gang, Steel",Eaton,TP525,Outlet Box,Indoor,ELECTRICAL-BOX-Eaton-TP525
"Eaton 15A GFCI Receptacle, Weather Resistant",Eaton,TWRSGF15W,Receptacle,Outdoor,ELECTRICAL-BOX-Eaton-TWRSGF15W
"Eaton 50A Receptacle, NEMA 14-50R, Flush",Eaton,1258-SP,Receptacle,Indoor,ELECTRICAL-BOX-Eaton-1258-SP
"Eaton Metal Utility Box, 2-Gang, Steel",Eaton,TP403,Utility Box,Indoor,ELECTRICAL-BOX-Eaton-TP403
"Eaton Utility Box, 1-Gang, Steel",Eaton,TP594,Utility Box,Indoor,ELECTRICAL-BOX-Eaton-TP594
"Eaton Wall Plate, 3-Gang, Steel",Eaton,93153-BOX,Wall Plate,Indoor,ELECTRICAL-BOX-Eaton-93153-BOX
"Hubbell Wall Plate, 4-Gang, Steel",Hubbell,SS43,Wall Plate,Indoor,ELECTRICAL-BOX-Hubbell-SS43
"Intermatic Weatherproof In-Use Cover, 2-Gang",Intermatic,WP1220C,In-Use Cover,Outdoor,ELECTRICAL-BOX-Intermatic-WP1220C
"Leviton 15A Receptacle, Self Test, Tamper-Resistant, Dual-Function AFCI/GFCI",Leviton,AGTR1-W,Receptacle,Indoor,ELECTRICAL-BOX-Leviton-AGTR1-W
"Leviton Wall Plate, 2-Gang, White Plastic",Leviton,80725W,Wall Plate,Indoor,ELECTRICAL-BOX-Leviton-80725W
"Milbank Metallic Blank Junction Box Cover, Indoor, 16 in x 16 in",Milbank,1616FLC,Box Cover,Indoor,ELECTRICAL-BOX-Milbank-1616FLC
"Morris Box Cover, Square, 4 in, Single GFCI Opening",Morris,RS16CC,Box Cover,Indoor,ELECTRICAL-BOX-Morris-RS16CC
"Mulberry Weatherproof Wall Plate, 2-Gang, Aluminum",Mulberry,30283,Wall Plate,Outdoor,ELECTRICAL-BOX-Mulberry-30283
"Mulberry Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",Mulberry,30248,Outlet Box,Outdoor,ELECTRICAL-BOX-Mulberry-30248
"Orbit Weatherproof Utility Box, 2-Gang, Aluminuim, 3/4 in Holes",Orbit,2B75-3,Utility Box,Outdoor,ELECTRICAL-BOX-Orbit-2B75-3
"Orbit Weatherproof Wall Plate, 1-Gang, Aluminum Blank (Unpainted)",Orbit,1-BC,Wall Plate,Outdoor,ELECTRICAL-BOX-Orbit-1-BC
"Orbit Weatherproof Outlet Box, 1-Gang, 3-Hole, 3/4 in Outlets",Orbit,1DB75-3,Outlet Box,Outdoor,ELECTRICAL-BOX-Orbit-1DB75-3
"Orbit Weatherproof Outlet Box, 1-Gang, 5-Hole, 3/4 in Outlets",Orbit,1B75-5,Outlet Box,Outdoor,ELECTRICAL-BOX-Orbit-1B75-5
"Orbit Weatherproof Outlet Box, 2-Gang, 2-5/8 in Deep, 5-Hole, 3/4 in Outlets",Orbit,2DB75-5,Outlet Box,Outdoor,ELECTRICAL-BOX-Orbit-2DB75-5
"Orbit Weatherproof Outlet Box, 2-Gang, 3-Hole, 3/4 in Outlets",Orbit,2B75-3,Outlet Box,Outdoor,ELECTRICAL-BOX-Orbit-2B75-3
"Orbit Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",Orbit,2B75-5,Outlet Box,Outdoor,ELECTRICAL-BOX-Orbit-2B75-5
"Orbit Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",Orbit,2B75-5X,Outlet Box,Outdoor,ELECTRICAL-BOX-Orbit-2B75-5X
"Orbit Weatherproof Receptacle Cover, 2-Gang",Orbit,2C-U,Receptacle Cover,Outdoor,ELECTRICAL-BOX-Orbit-2C-U
"Orbit Weatherproof Wall Plate, 2-Gang, Blank, Aluminum",Orbit,2-BC,Wall Plate,Outdoor,ELECTRICAL-BOX-Orbit-2-BC
"Orbit Weatherproof Wall Plate, 2-Gang, Blank, Steel",Orbit,2-BC-G,Wall Plate,Outdoor,ELECTRICAL-BOX-Orbit-2-BC-G
"Raco Weatherproof Outlet Box, 1-Gang, 3-Hole, 1/2 in Outlets",Raco,5320-0,Outlet Box,Outdoor,ELECTRICAL-BOX-Raco-5320-0
"Raco Weatherproof Outlet Box, 2-Gang, 3-Hole, 3/4 in Outlets",Raco,5341-0,Outlet Box,Outdoor,ELECTRICAL-BOX-Raco-5341-0
"Raco Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",Raco,5345-0,Outlet Box,Outdoor,ELECTRICAL-BOX-Raco-5345-0
