Description,Manufacturer,Part Number,Fuse Ampacity,Fuse Class,Fuse Voltage,Fuse Type,BRSID
"Mersen Fuse Reducer, 30-60A, Class H, 250V",Mersen,632,,H,250,Fuse Reducer,FUSE-Mersen-632
"Littelfuse Fuse Reducer, 100A Fuse Clip, 30A Fuse Case Size, Class H/K5, 600V",Littelfuse,LRU 216,,H,600,Fuse Reducer,FUSE-Littelfuse-LRU-216
"Littelfuse Fuse Reducer, 100A Fuse Clip, 60A Fuse Case Size, Class H/K5, 250V",Littelfuse,LRU 263,,H,250,Fuse Reducer,FUSE-Littelfuse-LRU-263
"Littelfuse Fuse Reducer, 100A Fuse Clip, 60A Fuse Case Size, Class R, 250V",Littelfuse,LRU 263 R,,R,250,Fuse Reducer,FUSE-Littelfuse-LRU-263-R
"Bussmann Fuse Reducer, Up to 30 A Fuse Size, Class R, 250V",Bussmann,NO.213-R,,R,250,Fuse Reducer,FUSE-Bussmann-NO.213-R
"Bussmann Fuse Reducer, 35 to 60 A Fuse Size, Class R, 250V",Bussmann,NO.216-R,,R,250,Fuse Reducer,FUSE-Bussmann-NO.216-R
"Bussmann Fuse Reducer, 65 to 100 A Fuse Size, Class R, 250V",Bussmann,NO.2621-R,,R,250,Fuse Reducer,FUSE-Bussmann-NO.2621-R
"Bussmann Fuse Reducer, Up to 30 A Fuse Size, Class H, 250V",Bussmann,NO.263,,H,250,Fuse Reducer,FUSE-Bussmann-NO.263
"Bussmann Fuse Reducer, 35 to 60 A Fuse Size, Class R, 250V",Bussmann,NO.263-R,,R,250,Fuse Reducer,FUSE-Bussmann-NO.263-R
"Bussmann Fuse Reducer, Up to 30 A Fuse Size, Class R, 600V ",Bussmann,NO.663-R,,R,600,Fuse Reducer,FUSE-Bussmann-NO.663-R
"Bussmann One Time Fuse, 30A, Class K5, 250V",Bussmann,NON-30,30,K5,250,One Time,FUSE-Bussmann-NON-30
"Edison 30A Fuse, Class RK5, 250V, Time Delay",Edison,ECNR30,30,RK5,250,Time Delay,FUSE-Edison-ECNR30
"Edison 35A Fuse, Class RK5, 250V, Time Delay",Edison,ECNR35,35,RK5,250,Time Delay,FUSE-Edison-ECNR35
"Edison 40A Fuse, Class RK5, 250V, Time Delay",Edison,ECNR40,40,RK5,250,Time Delay,FUSE-Edison-ECNR40
"Edison 60A Fuse, Class RK5, 250V, Time Delay",Edison,ECNR60,60,RK5,250,Time Delay,FUSE-Edison-ECNR60
"Littelfuse 80A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLN080,80,RK5,250,Time Delay,FUSE-Littelfuse-FLN080
"Littelfuse 20A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLNR020,20,RK5,250,Time Delay,FUSE-Littelfuse-FLNR020
"Littelfuse 25A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLNR025,25,RK5,250,Time Delay,FUSE-Littelfuse-FLNR025
"Littelfuse 30A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLNR030,30,RK5,250,Time Delay,FUSE-Littelfuse-FLNR030
"Littelfuse 35A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLNR035,35,RK5,250,Time Delay,FUSE-Littelfuse-FLNR035
"Littlefuse 45A Fuse, Class RK5, 250V, Time Delay",Littlefuse,FLNR045,45,RK5,250,Time Delay,FUSE-Littlefuse-FLNR045
"Littelfuse 50A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLNR050,50,RK5,250,Time Delay,FUSE-Littelfuse-FLNR050
"Littelfuse 60A Fuse, Class RK5, 250V, Time Delay",Littelfuse,FLNR060,60,RK5,250,Time Delay,FUSE-Littelfuse-FLNR060
