Description,Conduit Type,Conduit Material,Conduit Size,Conduit Category,Conduit Designation,
1/2 in EMT Pull Elbow,Pull Elbow,EMT,2-Jan,Conduit Body,1/2-EMT-Pull-Elbow,
1/2 in IMC Pull Elbow,Pull Elbow,IMC,2-Jan,Conduit Body,1/2-IMC-Pull-Elbow,
1/2 in PVC Pull Elbow,Pull Elbow,PVC,2-Jan,Conduit Body,1/2-PVC-Pull-Elbow,
1/2 in PVC Type C,Type C,PVC,2-Jan,Conduit Body,1/2-PVC-Type-C,
1/2 in PVC Type LB,Type LB,PVC,2-Jan,Conduit Body,1/2-PVC-Type-LB,
1/2 in PVC Type LL,Type LL,PVC,2-Jan,Conduit Body,1/2-PVC-Type-LL,
1/2 in PVC Type LR,Type LR,PVC,2-Jan,Conduit Body,1/2-PVC-Type-LR,
1/2 in PVC Type T,Type T,PVC,2-Jan,Conduit Body,1/2-PVC-Type-T,
1/2 in PVC Universal,Universal,PVC,2-Jan,Conduit Body,1/2-PVC-Universal,
1/2 in RMC Pull Elbow,Pull Elbow,RMC,2-Jan,Conduit Body,1/2-RMC-Pull-Elbow,
1-1/2 in EMT Pull Elbow,Pull Elbow,EMT,1/1/2002,Conduit Body,1-1/2-EMT-Pull-Elbow,
1-1/2 in IMC Pull Elbow,Pull Elbow,IMC,1/1/2002,Conduit Body,1-1/2-IMC-Pull-Elbow,
1-1/2 in PVC Pull Elbow,Pull Elbow,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Pull-Elbow,
1-1/2 in PVC Type C,Type C,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Type-C,
1-1/2 in PVC Type LB,Type LB,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Type-LB,
1-1/2 in PVC Type LL,Type LL,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Type-LL,
1-1/2 in PVC Type LR,Type LR,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Type-LR,
1-1/2 in PVC Type T,Type T,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Type-T,
1-1/2 in PVC Universal,Universal,PVC,1/1/2002,Conduit Body,1-1/2-PVC-Universal,
1-1/2 in RMC Pull Elbow,Pull Elbow,RMC,1/1/2002,Conduit Body,1-1/2-RMC-Pull-Elbow,
1-1/4 in EMT Pull Elbow,Pull Elbow,EMT,1/1/2004,Conduit Body,1-1/4-EMT-Pull-Elbow,
1-1/4 in IMC Pull Elbow,Pull Elbow,IMC,1/1/2004,Conduit Body,1-1/4-IMC-Pull-Elbow,
1-1/4 in PVC Pull Elbow,Pull Elbow,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Pull-Elbow,
1-1/4 in PVC Type C,Type C,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Type-C,
1-1/4 in PVC Type LB,Type LB,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Type-LB,
1-1/4 in PVC Type LL,Type LL,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Type-LL,
1-1/4 in PVC Type LR,Type LR,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Type-LR,
1-1/4 in PVC Type T,Type T,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Type-T,
1-1/4 in PVC Universal,Universal,PVC,1/1/2004,Conduit Body,1-1/4-PVC-Universal,
1-1/4 in RMC Pull Elbow,Pull Elbow,RMC,1/1/2004,Conduit Body,1-1/4-RMC-Pull-Elbow,
1 in EMT Pull Elbow,Pull Elbow,EMT,1,Conduit Body,1-EMT-Pull-Elbow,
1 in IMC Pull Elbow,Pull Elbow,IMC,1,Conduit Body,1-IMC-Pull-Elbow,
1 in PVC Pull Elbow,Pull Elbow,PVC,1,Conduit Body,1-PVC-Pull-Elbow,
1 in PVC Type C,Type C,PVC,1,Conduit Body,1-PVC-Type-C,
1 in PVC Type LB,Type LB,PVC,1,Conduit Body,1-PVC-Type-LB,
1 in PVC Type LL,Type LL,PVC,1,Conduit Body,1-PVC-Type-LL,
1 in PVC Type LR,Type LR,PVC,1,Conduit Body,1-PVC-Type-LR,
1 in PVC Type T,Type T,PVC,1,Conduit Body,1-PVC-Type-T,
1 in PVC Universal,Universal,PVC,1,Conduit Body,1-PVC-Universal,
1 in RMC Pull Elbow,Pull Elbow,RMC,1,Conduit Body,1-RMC-Pull-Elbow,
2-1/2 in EMT Pull Elbow,Pull Elbow,EMT,2/1/2002,Conduit Body,2-1/2-EMT-Pull-Elbow,
2-1/2 in IMC Pull Elbow,Pull Elbow,IMC,2/1/2002,Conduit Body,2-1/2-IMC-Pull-Elbow,
2-1/2 in PVC Pull Elbow,Pull Elbow,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Pull-Elbow,
2-1/2 in PVC Type C,Type C,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Type-C,
2-1/2 in PVC Type LB,Type LB,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Type-LB,
2-1/2 in PVC Type LL,Type LL,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Type-LL,
2-1/2 in PVC Type LR,Type LR,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Type-LR,
2-1/2 in PVC Type T,Type T,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Type-T,
2-1/2 in PVC Universal,Universal,PVC,2/1/2002,Conduit Body,2-1/2-PVC-Universal,
2-1/2 in RMC Pull Elbow,Pull Elbow,RMC,2/1/2002,Conduit Body,2-1/2-RMC-Pull-Elbow,
2 in EMT Pull Elbow,Pull Elbow,EMT,2,Conduit Body,2-EMT-Pull-Elbow,
2 in IMC Pull Elbow,Pull Elbow,IMC,2,Conduit Body,2-IMC-Pull-Elbow,
2 in PVC Pull Elbow,Pull Elbow,PVC,2,Conduit Body,2-PVC-Pull-Elbow,
2 in PVC Type C,Type C,PVC,2,Conduit Body,2-PVC-Type-C,
2 in PVC Type LB,Type LB,PVC,2,Conduit Body,2-PVC-Type-LB,
2 in PVC Type LL,Type LL,PVC,2,Conduit Body,2-PVC-Type-LL,
2 in PVC Type LR,Type LR,PVC,2,Conduit Body,2-PVC-Type-LR,
2 in PVC Type T,Type T,PVC,2,Conduit Body,2-PVC-Type-T,
2 in PVC Universal,Universal,PVC,2,Conduit Body,2-PVC-Universal,
2 in RMC Pull Elbow,Pull Elbow,RMC,2,Conduit Body,2-RMC-Pull-Elbow,
3/4 in EMT Pull Elbow,Pull Elbow,EMT,4-Mar,Conduit Body,3/4-EMT-Pull-Elbow,
3/4 in IMC Pull Elbow,Pull Elbow,IMC,4-Mar,Conduit Body,3/4-IMC-Pull-Elbow,
3/4 in PVC Pull Elbow,Pull Elbow,PVC,4-Mar,Conduit Body,3/4-PVC-Pull-Elbow,
3/4 in PVC Type C,Type C,PVC,4-Mar,Conduit Body,3/4-PVC-Type-C,
3/4 in PVC Type LB,Type LB,PVC,4-Mar,Conduit Body,3/4-PVC-Type-LB,
3/4 in PVC Type LL,Type LL,PVC,4-Mar,Conduit Body,3/4-PVC-Type-LL,
3/4 in PVC Type LR,Type LR,PVC,4-Mar,Conduit Body,3/4-PVC-Type-LR,
3/4 in PVC Type T,Type T,PVC,4-Mar,Conduit Body,3/4-PVC-Type-T,
3/4 in PVC Universal,Universal,PVC,4-Mar,Conduit Body,3/4-PVC-Universal,
3/4 in RMC Pull Elbow,Pull Elbow,RMC,4-Mar,Conduit Body,3/4-RMC-Pull-Elbow,
3 in EMT Pull Elbow,Pull Elbow,EMT,3,Conduit Body,3-EMT-Pull-Elbow,
3 in IMC Pull Elbow,Pull Elbow,IMC,3,Conduit Body,3-IMC-Pull-Elbow,
3 in PVC Pull Elbow,Pull Elbow,PVC,3,Conduit Body,3-PVC-Pull-Elbow,
3 in PVC Type C,Type C,PVC,3,Conduit Body,3-PVC-Type-C,
3 in PVC Type LB,Type LB,PVC,3,Conduit Body,3-PVC-Type-LB,
3 in PVC Type LL,Type LL,PVC,3,Conduit Body,3-PVC-Type-LL,
3 in PVC Type LR,Type LR,PVC,3,Conduit Body,3-PVC-Type-LR,
3 in PVC Type T,Type T,PVC,3,Conduit Body,3-PVC-Type-T,
3 in PVC Universal,Universal,PVC,3,Conduit Body,3-PVC-Universal,
3 in RMC Pull Elbow,Pull Elbow,RMC,3,Conduit Body,3-RMC-Pull-Elbow,
