Description,Junction Box Material,Junction Box Rating,Junction Box Designation
4x4x2 PVC Junction Box,PVC,NEMA 3R,4x4x2-PVC-Junction-Box
4x4x4 PVC Junction Box,PVC,NEMA 3R,4x4x4-PVC-Junction-Box
4x4x6 PVC Junction Box,PVC,NEMA 3R,4x4x6-PVC-Junction-Box
5x5x2 PVC Junction Box,PVC,NEMA 3R,5x5x2-PVC-Junction-Box
6x3x4 PVC Junction Box,PVC,NEMA 3R,6x3x4-PVC-Junction-Box
6x6x4 PVC Junction Box,PVC,NEMA 3R,6x6x4-PVC-Junction-Box
6x6x6 PVC Junction Box,PVC,NEMA 3R,6x6x6-PVC-Junction-Box
8x8x4 PVC Junction Box,PVC,NEMA 3R,8x8x4-PVC-Junction-Box
8x8x6 PVC Junction Box,PVC,NEMA 3R,8x8x6-PVC-Junction-Box
8x8x7 PVC Junction Box,PVC,NEMA 3R,8x8x7-PVC-Junction-Box
8x8x8 PVC Junction Box,PVC,NEMA 3R,8x8x8-PVC-Junction-Box
12x12x4 PVC Junction Box,PVC,NEMA 3R,12x12x4-PVC-Junction-Box
12x12x6 PVC Junction Box,PVC,NEMA 3R,12x12x6-PVC-Junction-Box
12x12x8 PVC Junction Box,PVC,NEMA 3R,12x12x8-PVC-Junction-Box
14x14x8 PVC Junction Box,PVC,NEMA 3R,14x14x8-PVC-Junction-Box
14x14x10 PVC Junction Box,PVC,NEMA 3R,14x14x10-PVC-Junction-Box
16x16x10 PVC Junction Box,PVC,NEMA 3R,16x16x10-PVC-Junction-Box
4x4x2 Metallic Indoor Junction Box,Metallic,NEMA 1,4x4x2-Metallic-Indoor-Junction-Box
4x4x4 Metallic Indoor Junction Box,Metallic,NEMA 1,4x4x4-Metallic-Indoor-Junction-Box
4x4x6 Metallic Indoor Junction Box,Metallic,NEMA 1,4x4x6-Metallic-Indoor-Junction-Box
6x6x4 Metallic Indoor Junction Box,Metallic,NEMA 1,6x6x4-Metallic-Indoor-Junction-Box
6x6x6 Metallic Indoor Junction Box,Metallic,NEMA 1,6x6x6-Metallic-Indoor-Junction-Box
6x10x10 Metallic Indoor Junction Box,Metallic,NEMA 1,6x10x10-Metallic-Indoor-Junction-Box
8x8x4 Metallic Indoor Junction Box,Metallic,NEMA 1,8x8x4-Metallic-Indoor-Junction-Box
8x8x6 Metallic Indoor Junction Box,Metallic,NEMA 1,8x8x6-Metallic-Indoor-Junction-Box
8x8x8 Metallic Indoor Junction Box,Metallic,NEMA 1,8x8x8-Metallic-Indoor-Junction-Box
10x10x4 Metallic Indoor Junction Box,Metallic,NEMA 1,10x10x4-Metallic-Indoor-Junction-Box
10x10x6 Metallic Indoor Junction Box,Metallic,NEMA 1,10x10x6-Metallic-Indoor-Junction-Box
12x12x4 Metallic Indoor Junction Box,Metallic,NEMA 1,12x12x4-Metallic-Indoor-Junction-Box
12x12x6 Metallic Indoor Junction Box,Metallic,NEMA 1,12x12x6-Metallic-Indoor-Junction-Box
12x12x8 Metallic Indoor Junction Box,Metallic,NEMA 1,12x12x8-Metallic-Indoor-Junction-Box
16x16x4 Metallic Indoor Junction Box,Metallic,NEMA 1,16x16x4-Metallic-Indoor-Junction-Box
4x4x2 Metallic Outdoor Junction Box,Metallic,NEMA 3R,4x4x2-Metallic-Outdoor-Junction-Box
4x4x4 Metallic Outdoor Junction Box,Metallic,NEMA 3R,4x4x4-Metallic-Outdoor-Junction-Box
4x4x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,4x4x6-Metallic-Outdoor-Junction-Box
6x6x4 Metallic Outdoor Junction Box,Metallic,NEMA 3R,6x6x4-Metallic-Outdoor-Junction-Box
6x6x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,6x6x6-Metallic-Outdoor-Junction-Box
6x10x10 Metallic Outdoor Junction Box,Metallic,NEMA 3R,6x10x10-Metallic-Outdoor-Junction-Box
8x8x4 Metallic Outdoor Junction Box,Metallic,NEMA 3R,8x8x4-Metallic-Outdoor-Junction-Box
8x8x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,8x8x6-Metallic-Outdoor-Junction-Box
8x8x8 Metallic Outdoor Junction Box,Metallic,NEMA 3R,8x8x8-Metallic-Outdoor-Junction-Box
10x10x4 Metallic Outdoor Junction Box,Metallic,NEMA 3R,10x10x4-Metallic-Outdoor-Junction-Box
10x10x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,10x10x6-Metallic-Outdoor-Junction-Box
12x12x4 Metallic Outdoor Junction Box,Metallic,NEMA 3R,12x12x4-Metallic-Outdoor-Junction-Box
12x12x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,12x12x6-Metallic-Outdoor-Junction-Box
12x12x8 Metallic Outdoor Junction Box,Metallic,NEMA 3R,12x12x8-Metallic-Outdoor-Junction-Box
16x12x4 Metallic Outdoor Junction Box,Metallic,NEMA 3R,16x12x4-Metallic-Outdoor-Junction-Box
16x12x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,16x12x6-Metallic-Outdoor-Junction-Box
18x18x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,18x18x6-Metallic-Outdoor-Junction-Box
24x24x6 Metallic Outdoor Junction Box,Metallic,NEMA 3R,24x24x6-Metallic-Outdoor-Junction-Box
24x24x12 Metallic Outdoor Junction Box,Metallic,NEMA 3R,24x24x12-Metallic-Outdoor-Junction-Box
