Part Number,Parts Category,BRSID
CABLE TIE,Hardware,HARDWARE-Unbranded-Cable-Tie-CABLE-TIE
ANCHOR KIT,Hardware,HARDWARE-Unbranded-Anchor-Kit-ANCHOR-KIT
STAPLE,Hardware,HARDWARE-Unbranded-Staple-STAPLE
PLASTIC STAPLE,Hardware,HARDWARE-Unbranded-Plastic-Staple-PLASTIC-STAPLE
NAIL PLATE,Hardware,HARDWARE-Unbranded-Nail-Plate-NAIL-PLATE
PITCH PAN,Hardware,HARDWARE-Unbranded-Pitch-Pan-PITCH-PAN
LAG BOLT,Hardware,HARDWARE-Unbranded-Lag-Bolt-LAG-BOLT
SELF-DRILLING SCREW,Hardware,HARDWARE-Unbranded-Self-Drilling-Screw-SELF-DRILLING-SCREW
STRUCTURAL SCREW,Hardware,HARDWARE-Unbranded-Structural-Screw-STRUCTURAL-SCREW
MACHINE SCREW,Hardware,HARDWARE-Unbranded-Machine-Screw-MACHINE-SCREW
WINGED ANCHOR,Hardware,HARDWARE-Unbranded-Winged-Anchor-WINGED-ANCHOR
CONICAL ANCHOR,Hardware,HARDWARE-Unbranded-Conical-Anchor-CONICAL-ANCHOR
CONCRETE SCREW,Hardware,HARDWARE-Unbranded-Concrete-Screw-CONCRETE-SCREW
SHEET METAL SCREW,Hardware,HARDWARE-Unbranded-Sheet-Metal-Screw-SHEET-METAL-SCREW
DECK SCREW,Hardware,HARDWARE-Unbranded-Deck-Screw-DECK-SCREW
WASHER SET,Hardware,HARDWARE-Unbranded-Washer-Set-WASHER-SET
HEX NUT,Hardware,HARDWARE-Unbranded-Hex-Nut-HEX-NUT
FLAT WASHER,Hardware,HARDWARE-Unbranded-Flat-Washer-FLAT-WASHER
FLANGE NUT,Hardware,HARDWARE-Unbranded-Flange-Nut-FLANGE-NUT
SPLIT LOCK WASHER,Hardware,HARDWARE-Unbranded-Split-Lock-Washer-SPLIT-LOCK-WASHER
FENDER WASHER,Hardware,HARDWARE-Unbranded-Fender-Washer-FENDER-WASHER
HEX BOLT,Hardware,HARDWARE-Unbranded-Hex-Bolt-HEX-BOLT
TOGGLE BOLT ANCHOR,Hardware,HARDWARE-Unbranded-Toggle-Bolt-Anchor-TOGGLE-BOLT-ANCHOR
NAIL DRIVE ANCHOR,Hardware,HARDWARE-Unbranded-Nail-Drive-Anchor-NAIL-DRIVE-ANCHOR
ANCHOR SCREW,Hardware,HARDWARE-Unbranded-Anchor-Screw-ANCHOR-SCREW
DRYWALL ANCHOR,Hardware,HARDWARE-Unbranded-Drywall-Anchor-DRYWALL-ANCHOR
WEDGE ANCHOR,Hardware,HARDWARE-Unbranded-Wedge-Anchor-WEDGE-ANCHOR
EYE BOLT,Hardware,HARDWARE-Unbranded-Eye-Bolt-EYE-BOLT
SELF DRILLING SCREW,Hardware,HARDWARE-Unbranded-Self-Drilling-Screw-SELF-DRILLING-SCREW
DRYWALL SCREW,Hardware,HARDWARE-Unbranded-Drywall-Screw-DRYWALL-SCREW
TOGGLE BOLT,Hardware,HARDWARE-Unbranded-Toggle-Bolt-TOGGLE-BOLT
SQUARE WASHER,Hardware,HARDWARE-Unbranded-Square-Washer-SQUARE-WASHER
SPRING NUT,Hardware,HARDWARE-Unbranded-Spring-Nut-SPRING-NUT
TWIRL NUT,Hardware,HARDWARE-Unbranded-Twirl-Nut-TWIRL-NUT
CONTINUOUS HINGE,Hardware,HARDWARE-Unbranded-Continuous-Hinge-CONTINUOUS-HINGE
HEX SOCKET HEAD SCREW,Hardware,HARDWARE-Unbranded-Hex-Socket-Head-Screw-HEX-SOCKET-HEAD-SCREW
BONDED SEALING WASHER,Hardware,HARDWARE-Unbranded-Bonded-Sealing-Washer-BONDED-SEALING-WASHER
ROOFING SCREW,Hardware,HARDWARE-Unbranded-Roofing-Screw-ROOFING-SCREW
PIPE PLUG,Hardware,HARDWARE-Unbranded-Pipe-Plug-PIPE-PLUG
WASHER,Hardware,HARDWARE-Unbranded-Washer-WASHER
CABLE TIE MOUNT,Hardware,HARDWARE-Unbranded-Cable-Tie-Mount-CABLE-TIE-MOUNT
ANCHOR,Hardware,HARDWARE-Unbranded-Anchor-ANCHOR
WEB STRAPS,Hardware,HARDWARE-Unbranded-Web-Straps-WEB-STRAPS
STEEL TIE WIRE,Hardware,HARDWARE-Unbranded-Steel-Tie-Wire-STEEL-TIE-WIRE
RACKING SCREW,Hardware,HARDWARE-Unbranded-Racking-Screw-RACKING-SCREW
U-BOLT,Hardware,HARDWARE-Unbranded-U-Bolt-U-BOLT
FRAMING ANGLE,Hardware,HARDWARE-Unbranded-Framing-Angle-FRAMING-ANGLE
ROOF INSULATION SCREW,Hardware,HARDWARE-Unbranded-Roof-Insulation-Screw-ROOF-INSULATION-SCREW
CHANNEL NUT,Hardware,HARDWARE-Unbranded-Channel-Nut-CHANNEL-NUT
012E,Conduit,CONDUIT-Conduit-1/2-EMT
1/2-EMT,Conduit,CONDUIT-Conduit-1/2-EMT
EMT-1/2,Conduit,CONDUIT-Conduit-1/2-EMT
012 GFS 50C,Conduit,CONDUIT-Conduit-1/2-FMC
1/2FMC,Conduit,CONDUIT-Conduit-1/2-FMC
1/2-FMC,Conduit,CONDUIT-Conduit-1/2-FMC
1/2-IMC,Conduit,CONDUIT-Conduit-1/2-IMC
012P80,Conduit,CONDUIT-Conduit-1/2-PVC
1/2 INCH PVC CONDUIT,Conduit,CONDUIT-Conduit-1/2-PVC
1/2PVC,Conduit,CONDUIT-Conduit-1/2-PVC
1/2-PVC,Conduit,CONDUIT-Conduit-1/2-PVC
1/2-PVC-SCHED-40-10FT,Conduit,CONDUIT-Conduit-1/2-PVC
CONDS40-1/2,Conduit,CONDUIT-Conduit-1/2-PVC
CONDS80-1/2,Conduit,CONDUIT-Conduit-1/2-PVC
CONDUIT 1/2-IN PVC SCHEDULE-80,Conduit,CONDUIT-Conduit-1/2-PVC
PVCSCH80-1/2,Conduit,CONDUIT-Conduit-1/2-PVC
S80-1/2,Conduit,CONDUIT-Conduit-1/2-PVC
12C,Conduit,CONDUIT-Conduit-1/2-PVC-Coupling
EL222-1/2,Conduit,CONDUIT-Conduit-1/2-PVC-Elbow-22-1/2
1/2-PVC-TERM-ADPT,Conduit,CONDUIT-Conduit-1/2-PVC-TERM-ADPT
1/2TERMINALADAPTER,Conduit,CONDUIT-Conduit-1/2-PVC-TERM-ADPT
MA1/2,Conduit,CONDUIT-Conduit-1/2-PVC-TERM-ADPT
TA-1/2,Conduit,CONDUIT-Conduit-1/2-PVC-TERM-ADPT
TA12,Conduit,CONDUIT-Conduit-1/2-PVC-TERM-ADPT
012G,Conduit,CONDUIT-Conduit-1/2-RMC
012I,Conduit,CONDUIT-Conduit-1/2-RMC
1/2RMC,Conduit,CONDUIT-Conduit-1/2-RMC
012GC,Conduit,CONDUIT-Conduit-1/2-GALV-CPLG
1/2-GALV-CPLG,Conduit,CONDUIT-Conduit-1/2-GALV-CPLG
GRC050,Conduit,CONDUIT-Conduit-1/2-GALV-CPLG
1-1/2-EMT,Conduit,CONDUIT-Conduit-1-1/2-EMT
112E,Conduit,CONDUIT-Conduit-1-1/2-EMT
EMT1-1/2,Conduit,CONDUIT-Conduit-1-1/2-EMT
EMT1-12,Conduit,CONDUIT-Conduit-1-1/2-EMT
1-1/2-45DEG-EMT,Conduit,CONDUIT-Conduit-1-1/2-EMT-ELBOW-45
1-1/2-EMT-ELBOW-45,Conduit,CONDUIT-Conduit-1-1/2-EMT-ELBOW-45
1-1/2-90DEG-EMT,Conduit,CONDUIT-Conduit-1-1/2-90DEG-EMT
1-1/2-EMT-ELBOW-90,Conduit,CONDUIT-Conduit-1-1/2-90DEG-EMT
ELEMT1-1/2,Conduit,CONDUIT-Conduit-1-1/2-90DEG-EMT
1-1/2-FMC,Conduit,CONDUIT-Conduit-1-1/2-FMC
CONDUIT 1-1/2-IN ALUMINUM FLEX (CUTTING COIL),Conduit,CONDUIT-Conduit-1-1/2-FMC
LT112,Conduit,CONDUIT-Conduit-1-1/2-FMC
112P CA,Conduit,CONDUIT-Conduit-112P-CA
PVC-80-1-1/2,Conduit,CONDUIT-Conduit-PVC80112
PVC80112,Conduit,CONDUIT-Conduit-PVC80112
CONDS801-1/2,Conduit,CONDUIT-Conduit-PVC80112
CONDUIT 1-1/2-IN PVC SCHEDULE-80,Conduit,CONDUIT-Conduit-PVC80112
1-1/2-PVC-SCHED-80-10FT,Conduit,CONDUIT-Conduit-PVC80112
1-1/2PVC,Conduit,CONDUIT-Conduit-1-1/2PVC
1-1/2-PVC-SCHED-40-10FT,Conduit,CONDUIT-Conduit-1-1/2PVC
COND1-1/2,Conduit,CONDUIT-Conduit-1-1/2PVC
PVC112,Conduit,CONDUIT-Conduit-1-1/2PVC
1-1/2PVCCOUPLING,Conduit,CONDUIT-Conduit-1-1/2PVCCOUPLING
CPL1-1/2,Conduit,CONDUIT-Conduit-1-1/2PVCCOUPLING
PVC ELBOW 22-1/2,Conduit,CONDUIT-Conduit-1-1/2PVCELBOW45
1-1/2PVCELBOW45,Conduit,CONDUIT-Conduit-1-1/2PVCELBOW45
1-1/2-90D-SCH-40-COND-ELL,Conduit,CONDUIT-Conduit-1-1/2-90D-SCH-40-COND-ELL
1-1/2-90D-SCH-80-COND-ELL,Conduit,CONDUIT-Conduit-1-1/2-90D-SCH-80-COND-ELL
1-1/2PVCELBOW90,Conduit,CONDUIT-Conduit-1-1/2-90D-SCH-40-COND-ELL
EL1-1/2,Conduit,CONDUIT-Conduit-1-1/2-90D-SCH-40-COND-ELL
5144007 ,Conduit,CONDUIT-Conduit-1-1/2-PVC-END-BELL
1-1/2-PVC-EXPAN-CPLG-6-IN-MAX,Conduit,CONDUIT-Conduit-1-1/2PVCEXPANSION
1-1/2PVCEXPANSION,Conduit,CONDUIT-Conduit-1-1/2PVCEXPANSION
1-1/2PVCEXPANSIONCOUP,Conduit,CONDUIT-Conduit-1-1/2PVCEXPANSION
EXCPL1-1/2,Conduit,CONDUIT-Conduit-1-1/2PVCEXPANSION
1-1/2PVCFEMALEADAPTER,Conduit,CONDUIT-Conduit-1-1/2PVCFEMALEADAPTER
FA1-1/2,Conduit,CONDUIT-Conduit-1-1/2PVCFEMALEADAPTER
1-1/2-PVC-TERM-ADPT,Conduit,CONDUIT-Conduit-1-1/2-PVC-TERM-ADPT
1-1/2PVCTERMINAL,Conduit,CONDUIT-Conduit-1-1/2-PVC-TERM-ADPT
1-1/2TERMINALADAPTER,Conduit,CONDUIT-Conduit-1-1/2-PVC-TERM-ADPT
TA1-1/2,Conduit,CONDUIT-Conduit-1-1/2-PVC-TERM-ADPT
1-1/2RMCCOMPRESSIONCONN,Conduit,CONDUIT-Conduit-1-1/2RMCCOMPRESSIONCONN
1-1/2-GALV-STEEL,Conduit,CONDUIT-Conduit-1-1/2-GALV-STEEL
GALV1-1/2,Conduit,CONDUIT-Conduit-1-1/2-GALV-STEEL
1-1/2RMCELBOW90,Conduit,CONDUIT-Conduit-1-1/2RMCELBOW90
37257,Conduit,CONDUIT-Conduit-1-1/2-RMC-THREAD-COUP
1-1/4EMTCOMPCONN,Conduit,CONDUIT-Conduit-1-1/4EMTCOMPCONN
1-1/4EMTCOMPCOUP,Conduit,CONDUIT-Conduit-1-1/4EMTCOMPCOUP
1-1/4EMT,Conduit,CONDUIT-Conduit-1-1/4EMT
EMT1-1/4,Conduit,CONDUIT-Conduit-1-1/4EMT
EMT200,Conduit,CONDUIT-Conduit-1-1/4EMT
ELE-12545,Conduit,CONDUIT-Conduit-ELE-12545
1-1/4-90DEG-EMT,Conduit,CONDUIT-Conduit-1-1/4-90DEG-EMT
1-1/4EMTELBOW90,Conduit,CONDUIT-Conduit-1-1/4-90DEG-EMT
EEL114,Conduit,CONDUIT-Conduit-1-1/4-90DEG-EMT
1-1/4-FLEX-ALU-RW-50CL,Conduit,CONDUIT-Conduit-1-1/4-FMC
1-1/4-FMC,Conduit,CONDUIT-Conduit-1-1/4-FMC
114GFS-MR,Conduit,CONDUIT-Conduit-1-1/4-FMC
CONDUIT 1-1/4 ALUMINUM FLEX (50FT COILS),Conduit,CONDUIT-Conduit-1-1/4-FMC
CONDUIT 1-1/4-IN STEEL FLEX (CUTTING COIL),Conduit,CONDUIT-Conduit-1-1/4-FMC
EF-14,Conduit,CONDUIT-Conduit-1-1/4-FMC
FMC1-1/4,Conduit,CONDUIT-Conduit-1-1/4-FMC
LT1NM,Conduit,CONDUIT-Conduit-1-1/4-FMC
1-1/4IMC,Conduit,CONDUIT-Conduit-1-1/4IMC
IMC1-1/4,Conduit,CONDUIT-Conduit-1-1/4IMC
1-1/4PVC,Conduit,CONDUIT-Conduit-1-1/4-PVC
1-1/4-PVC,Conduit,CONDUIT-Conduit-1-1/4-PVC
1-1/4-PVC-SCHED-40-10FT,Conduit,CONDUIT-Conduit-1-1/4-PVC
114P,Conduit,CONDUIT-Conduit-1-1/4-PVC
COND1.25,Conduit,CONDUIT-Conduit-1-1/4-PVC
COND1-1/4,Conduit,CONDUIT-Conduit-1-1/4-PVC
CONDS401-1/4,Conduit,CONDUIT-Conduit-1-1/4-PVC
PVC-40-1-1/4,Conduit,CONDUIT-Conduit-1-1/4-PVC
1-1/4-PVC-SCHED-80-10FT,Conduit,CONDUIT-Conduit-CONDUIT-1-1/4-IN-PVC-SCHEDULE-80
114P80,Conduit,CONDUIT-Conduit-CONDUIT-1-1/4-IN-PVC-SCHEDULE-80
CONDS801-1/4,Conduit,CONDUIT-Conduit-CONDUIT-1-1/4-IN-PVC-SCHEDULE-80
CONDUIT 1-1/4-IN PVC SCHEDULE-80,Conduit,CONDUIT-Conduit-CONDUIT-1-1/4-IN-PVC-SCHEDULE-80
1-1/4-PVC-COND-CPLG,Conduit,CONDUIT-Conduit-CPL1-1/4
1-1/4PVCCOUP,Conduit,CONDUIT-Conduit-CPL1-1/4
1-1/4PVCCOUPLING,Conduit,CONDUIT-Conduit-CPL1-1/4
114P CP,Conduit,CONDUIT-Conduit-CPL1-1/4
CPL1-1/4,Conduit,CONDUIT-Conduit-CPL1-1/4
CPL114,Conduit,CONDUIT-Conduit-CPL1-1/4
1-1/4PVCELBOW45,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW45
114P40 45D SCH40 ELB,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW45
PVC-EL45,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW45
1-1/4PVCELBOW90,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW90
114P40 90D SCH40 ELB,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW90
EL1-1/4,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW90
ELS801-1/4,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW90
PVC ELBOW 90,Conduit,CONDUIT-Conduit-1-1/4PVCELBOW90
1-1/4PVCEXPANSION,Conduit,CONDUIT-Conduit-1-1/4PVCEXPANSION
114P EC,Conduit,CONDUIT-Conduit-1-1/4PVCEXPANSION
EXCPL1-1/4,Conduit,CONDUIT-Conduit-1-1/4PVCEXPANSION
1-1/4-PVC-FEMALE-ADPT,Conduit,CONDUIT-Conduit-1-1/4-PVC-FEMALE-ADPT
FA1-1/4,Conduit,CONDUIT-Conduit-1-1/4-PVC-FEMALE-ADPT
1-1/4-PVC-TERM-ADPT,Conduit,CONDUIT-Conduit-1-1/4-PVC-TERM-ADPT
1-1/4PVCTERMINALADAPTER,Conduit,CONDUIT-Conduit-1-1/4-PVC-TERM-ADPT
114P MA,Conduit,CONDUIT-Conduit-1-1/4-PVC-TERM-ADPT
TA1.25,Conduit,CONDUIT-Conduit-1-1/4-PVC-TERM-ADPT
TA1-1/4,Conduit,CONDUIT-Conduit-1-1/4-PVC-TERM-ADPT
TA125,Conduit,CONDUIT-Conduit-1-1/4-PVC-TERM-ADPT
1-1/4RMCCOMPCOUP,Conduit,CONDUIT-Conduit-1-1/4RMCCOMPCOUP
1-1/4-GALV-STEEL,Conduit,CONDUIT-Conduit-1-1/4RMC
1-1/4RMC,Conduit,CONDUIT-Conduit-1-1/4RMC
114G,Conduit,CONDUIT-Conduit-1-1/4RMC
GALV1-1/4,Conduit,CONDUIT-Conduit-1-1/4RMC
