Description,Manufacturer,Part Number,Grounding Type,BRSID
"Ammo Electric Ground Rod, 5/8 in x 8 ft, Copper Clad Steel",Ammo Electric,58-8CCSGR,Ground Rod,GROUNDING-Ammo-Electric-58-8CCSGR
"Appleton Ground Clamp, 1/2 to 1 in Pipe or Rod",Appleton,GC1Z,Ground Clamp,GROUNDING-Appleton-GC1Z
"Appleton Ground Clamp, 5/8 in, Direct Burial",Appleton,RC625,Ground Clamp,GROUNDING-Appleton-RC625
"Arlington Ground Rod Clamp, 5/8 in",Arlington,781,Ground Rod Clamp,GROUNDING-Arlington-781
"Arlington Grounding Bridge, 4-Terminal",Arlington,GB5,Grounding Bridge,GROUNDING-Arlington-GB5
"Arlington Grounding Bridge, 4-Terminal, PVC Adaptor",Arlington,GB5P,Grounding Bridge,GROUNDING-Arlington-GB5P
"Blackburn Ground Rod, 5/8 in x 8 ft, Copper-Bonded Steel",Blackburn,6258,Ground Rod,GROUNDING-Blackburn-6258
"Blackburn Ground Rod, 5/8 in x 8 ft, Galvanized",Blackburn,GR6258,Ground Rod,GROUNDING-Blackburn-GR6258
"Blackburn Ground Rod Clamp, 5/8 in",Blackburn,G5,Ground Rod Clamp,GROUNDING-Blackburn-G5
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1307-B,Ground Clamp,GROUNDING-Bridgeport-1307-B
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1308-B,Ground Clamp,GROUNDING-Bridgeport-1308-B
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1308-DC,Ground Clamp,GROUNDING-Bridgeport-1308-DC
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1309-B,Ground Clamp,GROUNDING-Bridgeport-1309-B
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1309-DC,Ground Clamp,GROUNDING-Bridgeport-1309-DC
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1330-B,Ground Clamp,GROUNDING-Bridgeport-1330-B
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,DB-1308,Ground Clamp,GROUNDING-Bridgeport-DB-1308
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,DB-1309,Ground Clamp,GROUNDING-Bridgeport-DB-1309
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,RB16,Ground Clamp,GROUNDING-Bridgeport-RB16
"Bridgeport Ground Clamp, 1/2 to 1 in Pipe or Rod",Bridgeport,1330-BH,Ground Clamp,GROUNDING-Bridgeport-1330-BH
"Bridgeport Ground Rod Clamp, 1/2 in, Direct Burial",Bridgeport,GRC-63,Ground Rod Clamp,GROUNDING-Bridgeport-GRC-63
"Bridgeport Ground Rod Clamp, 5/8 in, Direct Burial",Bridgeport,GRC-63,Ground Rod Clamp,GROUNDING-Bridgeport-GRC-63
"Bridgeport Ground Rod Clamp, 3/4 in, Direct Burial",Bridgeport,GRC-75,Ground Rod Clamp,GROUNDING-Bridgeport-GRC-75
"Bridgeport Grounding Bridge, 4-Terminal",Bridgeport,IGB-WM,Grounding Bridge,GROUNDING-Bridgeport-IGB-WM
"Bridgeport Grounding Locknut, 3/4 in",Bridgeport,162-G,Grounding Locknut,GROUNDING-Bridgeport-162-G
"Bridgeport Grounding Locknut, 3/4 in, Insulated",Bridgeport,162-GI,Grounding Locknut,GROUNDING-Bridgeport-162-GI
"Bridgeport Grounding Locknut, 1 in",Bridgeport,163-G,Grounding Locknut,GROUNDING-Bridgeport-163-G
"Bridgeport Ground Lug, 4-14 AWG",Bridgeport,ALI-SER,Ground Lug,GROUNDING-Bridgeport-ALI-SER
"Burndy Ground Tray Clamp, 4-14 AWG",Burndy,BTCGC4SS,Ground Tray Clamp,GROUNDING-Burndy-BTCGC4SS
"Burndy Ground Clamp, 1/2 to 1 in Pipe or Rod",Burndy,C11D,Ground Clamp,GROUNDING-Burndy-C11D
"Burndy Ground Clamp, 1/2 to 1 in Pipe or Rod",Burndy,C11K16D,Ground Clamp,GROUNDING-Burndy-C11K16D
"Burndy Ground Clamp, 1-1/4 to 2 in Pipe or Rod",Burndy,C22D,Ground Clamp,GROUNDING-Burndy-C22D
"Burndy Ground Clamp, 1/2 to 1 in Pipe or Rod",Burndy,GC15A,Ground Clamp,GROUNDING-Burndy-GC15A
"Burndy Ground Rod Clamp, 3/8 in Rod Size, 10-4 AWG Conductor",Burndy,GRL3,Ground Rod Clamp,GROUNDING-Burndy-GRL3
"Burndy Ground Rod Clamp, 1/2 in Rod Size, 10-2 AWG Conductor",Burndy,GRL4,Ground Rod Clamp,GROUNDING-Burndy-GRL4
"Burndy Ground Rod Clamp, 5/8 in Rod Size, 10-2 AWG Conductor",Burndy,GRL5,Ground Rod Clamp,GROUNDING-Burndy-GRL5
"Burndy Ground Rod Clamp, 3/4 in Rod Size, 10-2 AWG Conductor",Burndy,GRL6,Ground Rod Clamp,GROUNDING-Burndy-GRL6
"Burndy Ground Rod Clamp, 1/2 to 3/4 in",Burndy,GCRT1/0,Ground Rod Clamp,GROUNDING-Burndy-GCRT1/0
"Burndy Ground Rod Clamp, 1/2 in",Burndy,GRC12,Ground Rod Clamp,GROUNDING-Burndy-GRC12
"Burndy Ground Rod Clamp, 5/8 in",Burndy,GRC58,Ground Rod Clamp,GROUNDING-Burndy-GRC58
"Burndy Ground Lug, 6-14 AWG",Burndy,WEEB-LUG-10.3,Ground Lug,GROUNDING-Burndy-WEEB-LUG-10.3
"Burndy Ground Lug Parts, WEEB Lug 10.3, Lug",Burndy,4000624,Ground Lug Parts,GROUNDING-Burndy-4000624
"Burndy Ground Lug Parts, WEEB Lug 10.3, Hardware",Burndy,4000622,Ground Lug Parts,GROUNDING-Burndy-4000622
"Burndy Ground Lug, 4-14 AWG",Burndy,BGBL4,Ground Lug,GROUNDING-Burndy-BGBL4
"Burndy Ground Lug, 4-14 AWG, Lay-in",Burndy,CL501TN,Ground Lug,GROUNDING-Burndy-CL501TN
"Burndy Ground Lug, 4-14 AWG, Stainless Steel",Burndy,CL501TNMHWSST,Ground Lug,GROUNDING-Burndy-CL501TNMHWSST
"Burndy Ground Lug, 6-14 AWG, Assembled",Burndy,WEEB-LUG-6.7AS,Ground Lug,GROUNDING-Burndy-WEEB-LUG-6.7AS
"Burndy Ground Lug, 6-14 AWG, Not Assembled",Burndy,WEEB-LUG-6.7,Ground Lug,GROUNDING-Burndy-WEEB-LUG-6.7
"Burndy Ground Lug, 6-14 AWG, M8, Not Assembled",Burndy,WEEB-LUG-8.0,Ground Lug,GROUNDING-Burndy-WEEB-LUG-8.0
"Caddy Ground Rod Clamp, 1/2 - 5/8 in",Caddy,CP58,Ground Rod Clamp,GROUNDING-Caddy-CP58
"Cully Grounding Screw, #10-32 x 3/8 in",Cully,80006J,Grounding Screw,GROUNDING-Cully-80006J
"Eaton Ground Bar Kit, 10-Terminal",Eaton,GBK10,Ground Bar Kit,GROUNDING-Eaton-GBK10
"Eaton Ground Bar Kit, 10-Terminal",Eaton,GBK1020,Ground Bar Kit,GROUNDING-Eaton-GBK1020
"Eaton Ground Bar Kit, 10-Terminal",Eaton,GBK1020CS,Ground Bar Kit,GROUNDING-Eaton-GBK1020CS
"Eaton Ground Bar Kit, 14 Terminal",Eaton,GBK14,Ground Bar Kit,GROUNDING-Eaton-GBK14
"Eaton Ground Bar Kit, 21-Terminal",Eaton,GBK21,Ground Bar Kit,GROUNDING-Eaton-GBK21
"Eaton Ground Bar Kit, 5-Terminal",Eaton,GBK5,Ground Bar Kit,GROUNDING-Eaton-GBK5
"Eaton Ground Bar Kit, 20-Terminal",Eaton,GBK520,Ground Bar Kit,GROUNDING-Eaton-GBK520
"Eaton Ground Bar Kit, 10-Terminal",Eaton,GBKP10,Ground Bar Kit,GROUNDING-Eaton-GBKP10
"Eaton Ground Bar Kit, 14-Terminal",Eaton,GBKP14,Ground Bar Kit,GROUNDING-Eaton-GBKP14
