Description,Manufacturer,Part Number,Hardware Type,Hardware Size,BRSID
"3M Cable Tie, 50 lb",3M,CT11BK50-C,Cable Tie,50 lb,HARDWARE-3M-CT11BK50-C
"3M Cable Tie, 11 in",3M,CT11NT50-C,Cable Tie,11 in,HARDWARE-3M-CT11NT50-C
"3M Cable Tie, 120 lb",3M,CT15BK120-C,Cable Tie,120 lb,HARDWARE-3M-CT15BK120-C
"3M Cable Tie, 120 lb",3M,CT15BK120-D,Cable Tie,120 lb,HARDWARE-3M-CT15BK120-D
"3M Cable Tie, 50 lb",3M,CT15BK50-C,Cable Tie,50 lb,HARDWARE-3M-CT15BK50-C
"3M Cable Tie, 120 lb",3M,CT15NT120-C,Cable Tie,120 lb,HARDWARE-3M-CT15NT120-C
"3M Cable Tie, 4 in",3M,CT4NT18-C,Cable Tie,4 in,HARDWARE-3M-CT4NT18-C
"3M Cable Tie, 40 lb",3M,CT6BK40-C,Cable Tie,40 lb,HARDWARE-3M-CT6BK40-C
"3M Cable Tie, 40 lb",3M,CT6NT40-C,Cable Tie,40 lb,HARDWARE-3M-CT6NT40-C
"3M Cable Tie, 7-15/16 in",3M,CT8BK50C,Cable Tie,7-15/16 in,HARDWARE-3M-CT8BK50C
"3M Cable Tie, 50 lb",3M,CT8BK50-C,Cable Tie,50 lb,HARDWARE-3M-CT8BK50-C
"3M Cable Tie, 50 lb",3M,CT8NT50-C,Cable Tie,50 lb,HARDWARE-3M-CT8NT50-C
"Acorn Fasteners Anchor Kit, #10 x 1-1/4 in",Acorn Fasteners,PAK14L,Anchor Kit,#10 x 1-1/4 in,HARDWARE-Acorn-Fasteners-PAK14L
"Advanced Cable Ties Cable Tie, 11 in x 8-1/2 in",Advanced Cable Ties,AL-11-40-0-C,Cable Tie,11 in x 8-1/2 in,HARDWARE-Advanced-Cable-Ties-AL-11-40-0-C
"Advanced Cable Ties Cable Tie, 11 in",Advanced Cable Ties,AL-11-50-0-C,Cable Tie,11 in,HARDWARE-Advanced-Cable-Ties-AL-11-50-0-C
"Advanced Cable Ties Cable Tie, 14 in",Advanced Cable Ties,AL-14-40-0-C,Cable Tie,14 in,HARDWARE-Advanced-Cable-Ties-AL-14-40-0-C
"Advanced Cable Ties Cable Tie, 14 in",Advanced Cable Ties,ALB-14-50-SP-0-C,Cable Tie,14 in,HARDWARE-Advanced-Cable-Ties-ALB-14-50-SP-0-C
"Arrow Staple, 3/4 x 7/8 in",Arrow,721189,Staple,3/4 x 7/8 in,HARDWARE-Arrow-721189
"Arrow Staple, 1/2 in",Arrow,516-704,Staple,1/2 in,HARDWARE-Arrow-516-704
