Description,Manufacturer,Part Number,Home Upgrade Type,BRSID
"Alpine 3"" Black Snow Pad",Alpine SnowGuards,SSP-T-3-BLK,Snow Barrier,HOME-UPGRADES-Alpine-SnowGuards-SSP-T-3-BLK
"Alpine 2"" Aluminum Lite Bar",Alpine SnowGuards,SNOWMAX-LITE-BAR,Snow Barrier,HOME-UPGRADES-Alpine-SnowGuards-SNOWMAX-LITE-BAR
85A19/LED827ND120,PHILIPS,85A19/LED827ND120,LED Bulb,HOME-UPGRADES-PHILIPS-85A19/LED827ND120
A19-9-E26-827-ND9W LED LAMP,RAB LIGHTING,A19-9-E26-827-ND,LED Bulb,HOME-UPGRADES-RAB-LIGHTING-A19-9-E26-827-ND
S29596SATCO 9W 120V LED LAMP 4PK,Satco,S29596,LED Bulb,HOME-UPGRADES-Satco-S29596
SATCO4PK LED 9W A12 BULB,Satco,SATCO,LED Bulb,HOME-UPGRADES-Satco-SATCO
L19SL19D3050K19W LED LAMP,TCP,L19SL19D3050K,LED Bulb,HOME-UPGRADES-TCP-L19SL19D3050K
L60A19D15V27KTCP LED BULB DIMMABLE,TCP,L60A19D15V27K,LED Bulb,HOME-UPGRADES-TCP-L60A19D15V27K
L60A19N15V27KLED LAMP A19,TCP,L60A19N15V27K,LED Bulb,HOME-UPGRADES-TCP-L60A19N15V27K
L60A19D15C27K9W LED LAMP,TCP,L60A19D15C27K,LED Bulb,HOME-UPGRADES-TCP-L60A19D15C27K
L60A19N15V27KLED LAMP A19,TCP,L60A19N15V27K,LED Bulb,HOME-UPGRADES-TCP-L60A19N15V27K
Alpine R2 Snow Guard Bracket,Alpine SnowGuards,SSM-R2,Snow Barrier,HOME-UPGRADES-Alpine-SnowGuards-SSM-R2
"Kiddie Heat Alarm, Hardwired",Kiddie,HD135,Heat Alarm,HOME-UPGRADES-Kiddie-HD135
"Kiddie Smoke Alarm, Hardwired with Battery Backup",Kiddie,21007581,Smoke Alarm,HOME-UPGRADES-Kiddie-21007581
"Kiddie Smoke Alarm, Battery Operated",Kiddie,21006974,Smoke Alarm,HOME-UPGRADES-Kiddie-21006974
"KIDDE Smoke Alarm, Battery Operated",KIDDE,i9060,Smoke Alarm,HOME-UPGRADES-KIDDE-i9060
"BRK Smoke Alarm, Hardwired with Battery Backup",BRK,9120B,Smoke Alarm,HOME-UPGRADES-BRK-9120B
"BRK Smoke and Carbon Monoxide Alarm, Hardwired with Battery Backup",BRK,SC9120B,Smoke and Carbon Monoxide Alarm,HOME-UPGRADES-BRK-SC9120B
"Kiddie Fire Extiguisher, Pro Plus 20 MP",Kiddie,468003,Fire Extiguisher,HOME-UPGRADES-Kiddie-468003
"Kiddie Smoke Alarm, Hardwired with Battery Backup",Kiddie,21007581,Smoke Alarm,HOME-UPGRADES-Kiddie-21007581
"Kiddie Smoke and Carbon Monoxide Alarm, Hardwired with Battery Backup",Kiddie,21010408-N,Smoke and Carbon Monoxide Alarm,HOME-UPGRADES-Kiddie-21010408-N
"Ecobee Smart Thermostat, 3rd Gen, Lite Pro",ecobee,EB-STATE3LTP-02,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE3LTP-02
"Ecobee Smart Thermostat, 4th Gen",ecobee,EB-STATE4P-01,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE4P-01
"Ecobee Smart Thermostat, 5th Gen",ecobee,EB-STATE5P-01,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE5P-01
"Ecobee Smart Thermostat, 3rd Gen, Lite",ecobee,EB-STATE3LT-02,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE3LT-02
"Ecobee Smart Thermostat, 3rd Gen",ecobee,EB-STATE3-02,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE3-02
"Ecobee Smart Thermostat, 6th Gen, Premium",ecobee,EB-STATE6P-01,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE6P-01
"Ecobee Smart Sensor, 2-pack",ecobee,EB-RSHM2PK-01,Smart Thermostat,HOME-UPGRADES-ecobee-EB-RSHM2PK-01
"Ecobee Smart Thermostat, 6th Gen, Premium",ecobee,EB-STATE6LP-01,Smart Thermostat,HOME-UPGRADES-ecobee-EB-STATE6LP-01
"Ecobee Remote Sensor for Ecobee3, 2-pack",ecobee,EB-RSE3PK2-01,Smart Thermostat,HOME-UPGRADES-ecobee-EB-RSE3PK2-01
Blue Raven Solar Yeard Sign,Blue Raven,BRS YARD SIGN,Yard Sign,HOME-UPGRADES-Blue-Raven-BRS-YARD-SIGN
