Description,Manufacturer,Part Number,Inverter Class,MPPT,Max DC Input Power,Peak Output Power,Max Continuous Output Power,Nominal Voltage,Max Continuous Output Current,Max Input Voltage,Max Input Current,CEC Weighted Efficiency,Weight,Max String Length,BRSID
Enphase IQ6 Microinverter,Enphase,IQ6-60-2-US,Microinverter,1,330,240,230,240,0.96,48,20,97,2.38,16,INVERTER-Enphase-IQ6-60-2-US
Enphase IQ7 Microinverter,Enphase,IQ7-60-2-US,Microinverter,1,350,250,240,240,1,48,20,97,2.38,16,INVERTER-Enphase-IQ7-60-2-US
Enphase IQ7+ Microinverter,Enphase,IQ7PLUS-72-2-US,Microinverter,1,440,295,290,240,1.21,60,20,97,2.38,13,INVERTER-Enphase-IQ7PLUS-72-2-US
Enphase IQ7A Microinverter,Enphase,IQ7A-72-2-US,Microinverter,1,460,366,349,240,1.45,58,15,97,2.38,11,INVERTER-Enphase-IQ7A-72-2-US
Enphase IQ7AS Microinverter,Enphase,IQ7AS-66-ACM-US,Microinverter,1,450,366,349,240,1.45,58,15,97,2.38,11,INVERTER-Enphase-IQ7AS-66-ACM-US
Enphase IQ7HS Microinverter,Enphase,IQ7HS-66-M-US,Microinverter,1,460,384,384,240,1.6,59,15,97,2.38,10,INVERTER-Enphase-IQ7HS-66-M-US
Enphase IQ7X Microinverter,Enphase,IQ7X-96-2-US,Microinverter,1,460,320,315,240,1.31,79.5,10,97.5,2.38,12,INVERTER-Enphase-IQ7X-96-2-US
Enphase IQ7XS Microinverter,Enphase,IQ7XS-96-ACM-US,Microinverter,1,460,320,315,240,1.31,79.5,10,97.5,2.38,12,INVERTER-Enphase-IQ7XS-96-ACM-US
Enphase IQ8 Microinverter,Enphase,IQ8-60-M-US,Microinverter,1,350,300,240,240,1,50,15,97,2.38,16,INVERTER-Enphase-IQ8-60-M-US
Enphase IQ8+ Microinverter,Enphase,IQ8PLUS-72-2-US,Microinverter,1,440,300,290,240,1.21,60,15,97,2.38,13,INVERTER-Enphase-IQ8PLUS-72-2-US
Enphase IQ8M Microinverter,Enphase,IQ8M-72-M-US,Microinverter,1,460,330,325,240,1.35,60,20,97.5,2.43,11,INVERTER-Enphase-IQ8M-72-M-US
Enphase IQ8A Microinverter,Enphase,IQ8A-72-2-US,Microinverter,1,500,366,349,240,1.45,60,20,97,2.38,11,INVERTER-Enphase-IQ8A-72-2-US
Enphase IQ8X Microinverter,Enphase,IQ8X-80-M-US,Microinverter,1,540,384,380,240,1.58,79.5,13,96.5,2.43,10,INVERTER-Enphase-IQ8X-80-M-US
Tesla Solar Inverter 3.8 [240V],Tesla,1538000-xx-y,String Inverter,4,6460,3800,3800,240,16,550,15,98,52,,INVERTER-Tesla-1538000-xx-y
Tesla Solar Inverter 5.0,Tesla,1538000-xx-y,String Inverter,4,8500,5000,5000,240,21,550,15,98,52,,INVERTER-Tesla-1538000-xx-y
Tesla Solar Inverter 5.7,Tesla,1538000-xx-y,String Inverter,4,9690,5700,5700,240,24,550,15,98,52,,INVERTER-Tesla-1538000-xx-y
Tesla Solar Inverter 7.6 [240V],Tesla,1538000-xx-y,String Inverter,4,12920,7600,7600,240,32,550,15,98,52,,INVERTER-Tesla-1538000-xx-y
Powerwall 3 (integrated inverter),Tesla,1707000-xx-y,String Inverter,6,20000,11500,11500,240,48,550,15,97,287,,INVERTER-Tesla-1707000-xx-y
SolarEdge HD-Wave SE3000H-US,SolarEdge,SE3000H-US,String Inverter,2,4650,3000,3000,240,14,480,8.5,99,22,,INVERTER-SolarEdge-SE3000H-US
SolarEdge HD-Wave SE3800H-US,SolarEdge,SE3800H-US,String Inverter,2,5900,3800,3800,240,16,480,10.5,99.2,22,,INVERTER-SolarEdge-SE3800H-US
SolarEdge SE5000A-US,SolarEdge,SE5000A-US,String Inverter,2,7550,5000,5000,240,21,480,15.5,97,54.7,,INVERTER-SolarEdge-SE5000A-US
SolarEdge HD-Wave SE5000H-US,SolarEdge,SE5000H-US,String Inverter,2,7550,5000,5000,240,21,480,13.5,99.2,25.1,,INVERTER-SolarEdge-SE5000H-US
SolarEdge HD-Wave SE6000H-US,SolarEdge,SE6000H-US,String Inverter,2,9300,6000,6000,240,25,480,16.5,99.2,26.2,,INVERTER-SolarEdge-SE6000H-US
SolarEdge HD-Wave SE7600H-US,SolarEdge,SE7600H-US,String Inverter,2,11800,7600,7600,240,32,480,20,99.2,26.2,,INVERTER-SolarEdge-SE7600H-US
SolarEdge HD-Wave SE10000H-US,SolarEdge,SE10000H-US,String Inverter,3,15500,10000,10000,240,42,480,27,99.2,38.8,,INVERTER-SolarEdge-SE10000H-US
SolarEdge HD-Wave SE11400H-US,SolarEdge,SE11400H-US,String Inverter,3,17650,11400,11400,240,47.5,480,30.5,99.2,38.8,,INVERTER-SolarEdge-SE11400H-US
