Description,Manufacturer,Part Number,Junction Box Designation,BRSID
"Arlington Junction Box, 12x12x4, NEMA 3R, Door Cover, Gray PVC, Knockouts",Arlington,EB1212BP,12x12x4-PVC-Junction-Box,JUNCTION-BOX-Arlington-EB1212BP
"Cantex Junction Box, 8x8x6, NEMA 3R, Screw Cover, Gray PVC, No Knockouts",Cantex,5133164,8x8x6-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133164
"Cantex Junction Box, 6x6x4, NEMA 3R, Screw Cover, Gray PVC, No Knockouts",Cantex,5133710,6x6x4-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133710
"Cantex Junction Box, 6x6x6, NEMA 3R, Screw Cover, Gray PVC, No Knockouts",Cantex,5133711,6x6x6-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133711
"Cantex Junction Box, 8x8x4, NEMA 3R, Screw Cover, Gray PVC, No Knockouts",Cantex,5133712,8x8x4-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133712
"Cantex Junction Box, 4x4x2, NEMA 6P, Screw Cover, Gray PVC, No Knockouts",Cantex,5133705,4x4x2-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133705
"Cantex Junction Box, 4x4x4, NEMA 6P, Screw Cover, Gray PVC, No Knockouts",Cantex,5133709,4x4x4-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133709
"Cantex Junction Box, 12x12x6, NEMA 6P, Screw Cover, Gray PVC, No Knockouts",Cantex,5133713,12x12x6-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133713
"Cantex Junction Box, 12x12x4, NEMA 6P, Screw Cover, Gray PVC, No Knockouts",Cantex,5133714,12x12x4-PVC-Junction-Box,JUNCTION-BOX-Cantex-5133714
"Eaton B-Line Junction Box, 10x10x4, NEMA 1, Screw Cover, Metallic, Painted, No Knockouts",Eaton,10104 SC NK,10x10x4-Metallic-Indoor-Junction-Box,JUNCTION-BOX-Eaton-10104-SC-NK
"Eaton B-Line Junction Box, 10x10x6, NEMA 3R, Screw Cover, Metallic, Painted, No Knockouts",Eaton,10106 RTSC NK,10x10x6-Metallic-Outdoor-Junction-Box,JUNCTION-BOX-Eaton-10106-RTSC-NK
"Eaton B-Line Junction Box, 10x10x6, NEMA 1, Screw Cover, Metallic, Painted, No Knockouts",Eaton,10106 SC NK,10x10x6-Metallic-Indoor-Junction-Box,JUNCTION-BOX-Eaton-10106-SC-NK
"Eaton B-Line Junction Box, 12x12x4, NEMA 3R, Screw Cover, Metallic, Painted, No Knockouts",Eaton,12124 RTSC NK,12x12x4-Metallic-Outdoor-Junction-Box,JUNCTION-BOX-Eaton-12124-RTSC-NK
"Eaton B-Line Junction Box, 12x12x4, NEMA 1, Screw Cover, Metallic, Painted, No Knockouts",Eaton,12124 SC NK,12x12x4-Metallic-Indoor-Junction-Box,JUNCTION-BOX-Eaton-12124-SC-NK
"Eaton B-Line Junction Box, 10x10x6, NEMA 3R, Screw Cover, Metallic, Painted, No Knockouts",Eaton,12126 RTSC,10x10x6-Metallic-Outdoor-Junction-Box,JUNCTION-BOX-Eaton-12126-RTSC
"Eaton B-Line Junction Box, 10x10x6, NEMA 3R, Screw Cover, Metallic, Painted, Knockouts",Eaton,12126 RTSC NK,12x12x6-Metallic-Indoor-Junction-Box,JUNCTION-BOX-Eaton-12126-RTSC-NK
