Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Span 225A Main Breaker Loadcenter, 32 Space, 64 Circuit, Indoor, Convertible Mount",Span,1-00800,225,Main Breaker,32,64,Indoor,Convertible,,LOAD-CENTER-Span-1-00800
"Eaton 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount",Eaton,BR1224L125R,125,Main Lug Only,12,24,Outdoor,Surface,,LOAD-CENTER-Eaton-BR1224L125R
"Eaton 200A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount",Eaton,BR1224L200R,200,Main Lug Only,12,24,Outdoor,Surface,,LOAD-CENTER-Eaton-BR1224L200R
"Eaton 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, Ground Bar",Eaton,BR12L125G,125,Main Lug Only,12,24,Indoor,Flush,Ground Bar,LOAD-CENTER-Eaton-BR12L125G
"Eaton 200A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount",Eaton,BR2040L200R,200,Main Lug Only,20,40,Outdoor,Surface,,LOAD-CENTER-Eaton-BR2040L200R
"Eaton 200A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Ground Bar",Eaton,BR2040L200RG,200,Main Lug Only,20,40,Outdoor,Surface,Ground Bar,LOAD-CENTER-Eaton-BR2040L200RG
"Eaton 200A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount",Eaton,BR2040N200,200,Convertible,20,40,Indoor,Flush,,LOAD-CENTER-Eaton-BR2040N200
"Eaton 200A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount",Eaton,BR2040N200R,200,Convertible,20,40,Outdoor,Surface,,LOAD-CENTER-Eaton-BR2040N200R
"Eaton 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount",Eaton,BR24L125FP,125,Main Lug Only,2,4,Indoor,Flush,,LOAD-CENTER-Eaton-BR24L125FP
"Eaton 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Surface Mount",Eaton,BR24L125SP,125,Main Lug Only,2,4,Indoor,Surface,,LOAD-CENTER-Eaton-BR24L125SP
"Eaton 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount, Ground Bar",Eaton,BR24L70FGP,70,Main Lug Only,2,4,Indoor,Flush,Ground Bar,LOAD-CENTER-Eaton-BR24L70FGP
"Eaton 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount",Eaton,BR24L70FP,70,Main Lug Only,2,4,Indoor,Flush,,LOAD-CENTER-Eaton-BR24L70FP
"Eaton 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Outdoor, Surface Mount",Eaton,BR24L70RP,70,Main Lug Only,2,4,Outdoor,Surface,,LOAD-CENTER-Eaton-BR24L70RP
"Eaton 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Surface Mount",Eaton,BR24L70SP,70,Main Lug Only,2,4,Indoor,Surface,,LOAD-CENTER-Eaton-BR24L70SP
"Eaton 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Outdoor, Surface Mount",Eaton,BR2L125RP,125,Main Lug Only,2,4,Outdoor,Surface,,LOAD-CENTER-Eaton-BR2L125RP
"Eaton 150A Main Breaker Loadcenter, 30 Space, 30 Circuit, Outdoor, Surface Mount",Eaton,BR3030B150R,150,Main Breaker,30,30,Outdoor,Surface,,LOAD-CENTER-Eaton-BR3030B150R
"Eaton 200A Main Breaker Loadcenter, 30 Space, 40 Circuit, Indoor, Flush Mount",Eaton,BR3040B200,200,Main Breaker,30,40,Indoor,Flush,,LOAD-CENTER-Eaton-BR3040B200
"Eaton 200A Main Breaker Loadcenter, 30 Space, 40 Circuit, Outdoor, Surface Mount",Eaton,BR3040B200R,200,Main Breaker,30,40,Outdoor,Surface,,LOAD-CENTER-Eaton-BR3040B200R
"Eaton 200A Main Breaker Loadcenter, 40 Space, 40 Circuit, Outdoor, Surface Mount",Eaton,BR4040B200R,200,Main Breaker,40,40,Outdoor,Surface,,LOAD-CENTER-Eaton-BR4040B200R
