Description,Manufacturer,Part Number,Meter Accessory Type,BRSID
"Brady Brass Tags, 1-1/2 inch Diameter, Pack of 25",Brady,23210,Brass Tag,METER-ACCESSORY-Brady-23210
Square D Dead Front Cover for 8 Space CSED,Square D,4056157550,Dead Front Cover,METER-ACCESSORY-Square-D-4056157550
Square D Dead Front Cover for 32 Space CSED,Square D,4056184950,Dead Front Cover,METER-ACCESSORY-Square-D-4056184950
"Milbank Meter Closing Plate, Round, Plastic, Gray",Milbank,6003,Meter Closing Plate,METER-ACCESSORY-Milbank-6003
"Milbank Meter Closing Plate, Round, Plastic, Clear",Milbank,6116,Meter Closing Plate,METER-ACCESSORY-Milbank-6116
"Square D Conduit Hub, 1 in, for Homeline and QO CSEDs and Meter Sockets",Square D,A100,Conduit Hub,METER-ACCESSORY-Square-D-A100
"Square D Conduit Hub, 2 in, for Homeline and QO CSEDs and Meter Sockets",Square D,A200,Conduit Hub,METER-ACCESSORY-Square-D-A200
"Milbank Conduit Hub, 1 in, Sqaure, With Mounting Screws",Milbank,A7514,Conduit Hub,METER-ACCESSORY-Milbank-A7514
"Milbank Conduit Hub, 1-1/4 in, Square, With Mounting Screws",Milbank,A7515,Conduit Hub,METER-ACCESSORY-Milbank-A7515
"Milbank Conduit Hub, 2 in, Square, With Mounting Screws",Milbank,A7517,Conduit Hub,METER-ACCESSORY-Milbank-A7517
"MILBANK CLOSING PLATE, SMALL",Milbank,A7551,Hub Closing Plate,METER-ACCESSORY-Milbank-A7551
Square D Hub Closing Plate for Type A Hub Openings on Meters and CSEDs,Square D,ACP,Hub Closing Plate,METER-ACCESSORY-Square-D-ACP
"Eaton Hub Closing Plate, For Single Meter Socket",Eaton,ARP00002CHB,Hub Closing Plate,METER-ACCESSORY-Eaton-ARP00002CHB
"Eaton Conduit Hub, 1 in, For Single Meter Socket",Eaton,ARP00003CH1,Conduit Hub,METER-ACCESSORY-Eaton-ARP00003CH1
"Eaton Conduit Hub, 2 in, For Single Meter Socket",Eaton,ARP00006CH2,Conduit Hub,METER-ACCESSORY-Eaton-ARP00006CH2
"Eaton Conduit Hub, 2.5 in, For Single Meter Socket",Eaton,ARP00007CH25,Conduit Hub,METER-ACCESSORY-Eaton-ARP00007CH25
"Eaton Hub Adapter, For Single Meter Socket",Eaton,ARP00015CHAP,Hub Adapter,METER-ACCESSORY-Eaton-ARP00015CHAP
"Eaton B-Line Conduit Hub, 2 in, Square",Eaton,AW200,Conduit Hub,METER-ACCESSORY-Eaton-AW200
"Eaton B-Line Hub Closing Plate, 2 in, Square, Blank",Eaton,AWCAP,Hub Closing Plate,METER-ACCESSORY-Eaton-AWCAP
Eaton B-Line Meter Hub Closing Plate,Eaton,AWCAP-GV,Hub Closing Plate,METER-ACCESSORY-Eaton-AWCAP-GV
"Eaton B-Line Meter Hub Closing Plate, 3-1/2 x 3-1/2 in",Eaton B-Line,AW-HUB-CAP-SS316,Hub Closing Plate,METER-ACCESSORY-Eaton-B-Line-AW-HUB-CAP-SS316
"Midwest Conduit Hub, 1-1/4 in, Square",Midwest,B12,Conduit Hub,METER-ACCESSORY-Midwest-B12
Square D Hub Closing Plate,Square D,BCAP,Hub Closing Plate,METER-ACCESSORY-Square-D-BCAP
"Milbank Self Contained Meter, Form 2S, 200A",Milbank,CL200,Meter Bulb,METER-ACCESSORY-Milbank-CL200
"Siemens Conduit Hub, 1-1/4 in, Type RX, for Combination Meter Sockets",Siemens,EC38597,Conduit Hub,METER-ACCESSORY-Siemens-EC38597
Siemens HS-Type Closure Plate,Siemens,ECHS000,Hub Closing Plate,METER-ACCESSORY-Siemens-ECHS000
"Siemens Large RX-Type Hub Closure Plate, Steel",Siemens,H38595-1,Hub Closing Plate,METER-ACCESSORY-Siemens-H38595-1
"Siemens Hub Closing Plate, Type RX, Aluminum",Siemens,H38595-2,Hub Closing Plate,METER-ACCESSORY-Siemens-H38595-2
"Siemens Conduit Hub, 2 in, Type RX, for Talon Meter Bases",Siemens,H38599-2,Conduit Hub,METER-ACCESSORY-Siemens-H38599-2
Siemens Grounding Lug for Talon Series,Siemens,H55303,Grounding Lug,METER-ACCESSORY-Siemens-H55303
"Siemens Hub Adapter Kit, Large to Small",Siemens,H9747-113,Hub Adapter,METER-ACCESSORY-Siemens-H9747-113
Milbank Meter Tap Connector w/ External Hex Set Screw (3pack),Milbank,K4977-EXT,Meter Tap Connector,METER-ACCESSORY-Milbank-K4977-EXT
"Milbank Meter Bypass Jumper, Set of 2",Milbank,K8180,Meter Bypass Jumper,METER-ACCESSORY-Milbank-K8180
Eaton Meter Tap Connector,Eaton,MSRTAP,Meter Tap Connector,METER-ACCESSORY-Eaton-MSRTAP
"Milbank Large to Small Hub Opening Adaptor, 4-1/3 to 2-3/4 inch",Milbank,S8324,Hub Adapter,METER-ACCESSORY-Milbank-S8324
Square D Solar Ready Lug Kit for CSEDs,Square D,SR69064A,Mechanical Lug,METER-ACCESSORY-Square-D-SR69064A
"Midwest Conduit Hub, 2 in, for Metering Equipment",Midwest,U20,Conduit Hub,METER-ACCESSORY-Midwest-U20
