Description,Manufacturer,Part Number,Rating,Meter Socket Series,Meter Socket Type,Meter Socket Style,Meter Socket Feed,Meter Socket Positions,Meter Socket Bypass,Meter Socket Jaws,Mount,Meter Socket Features,BRSID
"Eaton B-Line Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,011,125,B-Line,Meter Socket,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-011
"Eaton B-Line Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Flush Mount",Eaton,011 F,125,B-Line,Meter Socket,Ring,OH/UG,1,,4,Flush,,METER-SOCKET-Eaton-011-F
"Eaton B-Line Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Solar Ready",Eaton,011 MS25,125,B-Line,Meter Socket,Ring,OH/UG,1,,4,Surface,Solar Ready,METER-SOCKET-Eaton-011-MS25
"Eaton B-Line Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, SRP",Eaton,011 SRP,125,B-Line,Meter Socket,Ring,OH/UG,1,,4,Surface,SRP,METER-SOCKET-Eaton-011-SRP
"Eaton Cutler Hammer Meter Socket, 200A, Ringless Style, OH ONLY, 1-Position, Horn Bypass, 4 Jaws, Surface Mount, 2 in Bolt-On Hub",Eaton,1004455BCH,200,Cutler Hammer,Meter Socket,Ringless,OH,1,Horn,4,Surface,2 in Bolt-On Hub,METER-SOCKET-Eaton-1004455BCH
"Eaton Cutler Hammer Meter Socket, 125A, Ringless Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, 1-1/4 in Bolt-On Hub",Eaton,1004931BCH,125,Cutler Hammer,Meter Socket,Ringless,OH,1,,4,Surface,1-1/4 in Bolt-On Hub,METER-SOCKET-Eaton-1004931BCH
"Eaton Cutler Hammer Meter Socket, 200A, Ringless Style, UG ONLY, 2-Position, Horn Bypass, 4 Jaws, Surface Mount, Pedestal",Eaton,1009264CH,200,Cutler Hammer,Meter Socket,Ringless,UG,2,Horn,4,Surface,Pedestal,METER-SOCKET-Eaton-1009264CH
"Eaton Cutler Hammer Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 5 Jaws, Surface Mount",Eaton,1010291CH,200,Cutler Hammer,Meter Socket,Ringless,OH/UG,1,Horn,5,Surface,,METER-SOCKET-Eaton-1010291CH
"Eaton B-Line Meter Socket, 100A, Ring Style, OH/UG, 1-Position, TB Bypass, 4 Jaws, Surface Mount",Eaton,114 TB,100,B-Line,Meter Socket,Ring,OH/UG,1,TB,4,Surface,,METER-SOCKET-Eaton-114-TB
"Eaton B-Line Meter Socket, 200A, Ring Style, OH/UG, 1-Position, TB Bypass, 4 Jaws, Surface Mount",Eaton,124 TB,200,B-Line,Meter Socket,Ring,OH/UG,1,TB,4,Surface,,METER-SOCKET-Eaton-124-TB
"Eaton B-Line Meter Socket, 200A, Ring Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,204,200,B-Line,Meter Socket,Ring,OH,1,,4,Surface,,METER-SOCKET-Eaton-204
"Eaton B-Line Meter Socket, 200A, Ring Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, AW or 2"" Hub",Eaton,204 MS68,200,B-Line,Meter Socket,Ring,OH,1,,4,Surface,"AW or 2"" Hub",METER-SOCKET-Eaton-204-MS68
"Eaton Cutler Hammer Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,CMBE88B200BTS,200,Cutler Hammer,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-CMBE88B200BTS
"Eaton BR Meter/Main Combo, 400A, Ring Style, UG ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs",Eaton,HP816P400BS,400,BR,Meter/Main Combo,Ring,UG,1,,4,Surface,Feed-Through Lugs,METER-SOCKET-Eaton-HP816P400BS
"Eaton BR Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Copper Bus",Eaton,MB2040B200BTS,200,BR,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,Copper Bus,METER-SOCKET-Eaton-MB2040B200BTS
"Eaton BR Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,MB816P200BTS,200,BR,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-MB816P200BTS
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, RH-Type Hub",Eaton,MBE2040B200BTS,200,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,RH-Type Hub,METER-SOCKET-Eaton-MBE2040B200BTS
"Eaton BR Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Flush Mount, RH-Type Hub",Eaton,MBE2040B225BTF,225,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Flush,RH-Type Hub,METER-SOCKET-Eaton-MBE2040B225BTF
"Eaton BR Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, RH-Type Hub",Eaton,MBE2040B225BTS,225,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,RH-Type Hub,METER-SOCKET-Eaton-MBE2040B225BTS
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Main Lug Only",Eaton,MBE24L200BTS,200,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,Main Lug Only,METER-SOCKET-Eaton-MBE24L200BTS
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,MBE4040B200TS,200,BR,Meter/Main Combo,Ring,OH,1,,4,Surface,,METER-SOCKET-Eaton-MBE4040B200TS
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Flush Mount",Eaton,MBE48B200BTF,200,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Flush,,METER-SOCKET-Eaton-MBE48B200BTF
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,MBE48B200BTS,200,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-MBE48B200BTS
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,MBE88B200BTS,200,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-MBE88B200BTS
"Eaton BR Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, No Distribution",Eaton,MBEB200BTS,200,BR,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,No Distribution,METER-SOCKET-Eaton-MBEB200BTS
"Eaton BR Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,MBT48B200BTS,200,BR,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-MBT48B200BTS
"Eaton BR Meter/Main Combo, 225A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Eaton,MBX2040PV200BTS,225,BR,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Eaton-MBX2040PV200BTS
"Eaton BR Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Eaton,MBX816B200BTS,200,BR,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Eaton-MBX816B200BTS
"Eaton B-Line Meter Socket, 200A, Ring Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,U204,200,B-Line,Meter Socket,Ring,OH,1,,4,Surface,,METER-SOCKET-Eaton-U204
"Eaton B-Line Meter Socket, 200A, Ring Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, (2) 2"" max KO",Eaton,U204 F,200,B-Line,Meter Socket,Ring,OH,1,,4,Surface,"(2) 2"" max KO",METER-SOCKET-Eaton-U204-F
"Eaton B-Line Meter Socket, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,U207,200,B-Line,Meter Socket,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Eaton-U207
"Eaton B-Line Meter Socket, 200A, Ring Style, UG ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount",Eaton,UG204,200,B-Line,Meter Socket,Ring,UG,1,,4,Surface,,METER-SOCKET-Eaton-UG204
"Eaton Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, 3-5/16 hub cover plate",Eaton,UNRRS111BEUSE,125,,Meter Socket,Ring,OH/UG,1,,4,Surface,3-5/16 hub cover plate,METER-SOCKET-Eaton-UNRRS111BEUSE
"Eaton Meter Socket, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, 3-5/16 hub cover plate",Eaton,UTRS213CE,200,,Meter Socket,Ring,OH/UG,1,,4,Surface,3-5/16 hub cover plate,METER-SOCKET-Eaton-UTRS213CE
"Leviton Meter/Main Combo, 225A, Ring Style, OH/UG, 1-Position, Horn Bypass, 5 Jaws, Surface Mount, Feed-Through Lugs",Leviton,LS820-BRD,225,,Meter/Main Combo,Ring,OH/UG,1,Horn,5,Surface,Feed-Through Lugs,METER-SOCKET-Leviton-LS820-BRD
"Milbank Meter Socket, 200A, Ringless Style, OH ONLY, 2-Position, Horn Bypass, 4 Jaws, Surface Mount",Milbank,U1252-X-KK,200,,Meter Socket,Ringless,OH,2,Horn,4,Surface,,METER-SOCKET-Milbank-U1252-X-KK
"Milbank Meter Socket, 200A, Ringless Style, OH ONLY, 1-Position, Horn Bypass, 4 Jaws, Surface Mount",Milbank,U1773-XL-TG-KK,200,,Meter Socket,Ringless,OH,1,Horn,4,Surface,,METER-SOCKET-Milbank-U1773-XL-TG-KK
"Milbank Meter Socket, 200A, Ringless Style, UG ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, Side Wireway",Milbank,U1980-O-HSP,200,,Meter Socket,Ringless,UG,1,,4,Surface,Side Wireway,METER-SOCKET-Milbank-U1980-O-HSP
