Description,Manufacturer,Part Number,Racking System,Racking Type,BRSID
Enphase Q-Cable Rail Mount Cable Management Clip,Enphase,Q-CLIP-100,"SFM, NXT Umount, Solarmount",Wire Clip,RACKING-Enphase-Q-CLIP-100
"End Cap, XR100 (L-R Pair)",IronRidge,XR-100-CAP01-B1,XR,End Cap,RACKING-IronRidge-XR-100-CAP01-B1
"End Cap, XR10 (L-R Pair)",IronRidge,XR-10-CAP01-B1,XR,End Cap,RACKING-IronRidge-XR-10-CAP01-B1
Hidden End Clamp,IronRidge,CAMO-1,XR,End Clamp,RACKING-IronRidge-CAMO-1
"IronRidge Ground Lug, Lay-in",IronRidge,PV-LUG-01-A1,XR,Ground Lug,RACKING-IronRidge-PV-LUG-01-A1
"IronRidge Ground Lug, Lay-in, Low Profile",IronRidge,XR-LUG-03-A1,XR,Ground Lug,RACKING-IronRidge-XR-LUG-03-A1
"Kit, 4pcs, Universal Module Clamp BLK",IronRidge,UFO-CL-001,XR,Mid Clamp,RACKING-IronRidge-UFO-CL-001
"Kit, 2pcs, 1/4 x 3/4 Microinverter Mounting, T-Bolt",IronRidge,MIBHW,XR,MLPE Mount,RACKING-IronRidge-MIBHW
"XR100, Rail 168” (14 Feet) Clear",IronRidge,XR-100-168A,XR,Rail,RACKING-IronRidge-XR-100-168A
"XR10, Rail 168” (14 Feet) Clear",IronRidge,XR-10-168A,XR,Rail,RACKING-IronRidge-XR-10-168A
"Bonded Splice, XR100",IronRidge,XR100-BOSS-01-M1,XR,Rail Splice,RACKING-IronRidge-XR100-BOSS-01-M1
"Bonded Splice, XR10",IronRidge,XR10-BOSS-01-M1,XR,Rail Splice,RACKING-IronRidge-XR10-BOSS-01-M1
"IronRidge CONTOUR TRIM, 84""LG",IronRidge,CTR-TR84-01-B1,XR,Skirt,RACKING-IronRidge-CTR-TR84-01-B1
"IronRidge CONTOUR CORNER CAP, OUTER",IronRidge,CTR-OUT-01-B1,XR,Skirt,RACKING-IronRidge-CTR-OUT-01-B1
"IronRidge CONTOUR CORNER CAP, INNER",IronRidge,CTR-IN-01-B1,XR,Skirt,RACKING-IronRidge-CTR-IN-01-B1
IronRidge CONTOUR END CAPS PAIR,IronRidge,CTR-CAP-01-B1,XR,Skirt Cap,RACKING-IronRidge-CTR-CAP-01-B1
IronRidge CONTOUR CLAMP (INCL. TORX BIT),IronRidge,CTR-CL-01-B1,XR,Skirt Clamp,RACKING-IronRidge-CTR-CL-01-B1
T-Bolt Bonding Hardware,IronRidge,BHW-TB-02-A1,XR,T-bolt,RACKING-IronRidge-BHW-TB-02-A1
"IronRidge Microinverter Bonding Hardware, T-Bolt",IronRidge,BHW-M1-01-A1,XR,T-bolt,RACKING-IronRidge-BHW-M1-01-A1
"IronRidge Microinverter Square Bolt Bonding Hardware, T-Bolt",IronRidge,BHW-SQ-02-A1,XR,T-bolt,RACKING-IronRidge-BHW-SQ-02-A1
"IronRidge Wire Clip, Designed for XR Rail",IronRidge,29-4000-077,XR,Wire Clip,RACKING-IronRidge-29-4000-077
IronRidge Wire Management Clip - Black,IronRidge,XR-WC-01-B1,XR,Wire Clip,RACKING-IronRidge-XR-WC-01-B1
Pegasus - North-South Bonding Jumper,Pegasus,PSR-NSJ,Pegasus,Bonding Clamp,RACKING-Pegasus-PSR-NSJ
Pegasus - End Cap,Pegasus,PSR-CAP,Pegasus,End Cap,RACKING-Pegasus-PSR-CAP
Pegasus - Ground Lug,Pegasus,PSR-LUG,Pegasus,Ground Lug,RACKING-Pegasus-PSR-LUG
Pegasus - MLPE Mount,Pegasus,PSR-MLP,Pegasus,MLPE Mount,RACKING-Pegasus-PSR-MLP
Pegasus - Multi-Clamp - Mid/End 30-40mm - Full Black,Pegasus,PSR-MCB,Pegasus,Multi Clamp,RACKING-Pegasus-PSR-MCB
"Pegasus - Rail - Mill 84""",Pegasus,PSR-M84,Pegasus,Rail,RACKING-Pegasus-PSR-M84
Pegasus - Bonded Structural Splice,Pegasus,PSR-SPL,Pegasus,Rail Splice,RACKING-Pegasus-PSR-SPL
Pegasus - SkipRail Clamp w/ Kickstand,Pegasus,PSR-SRCK,Pegasus,SkipRail Clamp,RACKING-Pegasus-PSR-SRCK
Pegasus - SkipRail Clamp,Pegasus,PSR-SRC,Pegasus,SkipRail Clamp,RACKING-Pegasus-PSR-SRC
Pegasus - Dovetail T-bolt,Pegasus,PSR-DTN,Pegasus,T-bolt,RACKING-Pegasus-PSR-DTN
Pegasus - Wire Management Clip,Pegasus,PSR-WMC,Pegasus,Wire Clip,RACKING-Pegasus-PSR-WMC
Pegasus - Cable Grip,Pegasus,PSR-CBG,Pegasus,Wire Clip,RACKING-Pegasus-PSR-CBG
"SNAPNRACK, TOPSPEED CLAMP",SnapNrack,242-10011,TopSpeed,Clamp,RACKING-SnapNrack-242-10011
