Description,Manufacturer,Part Number,Rooftop Junction Box Material,BRSID
"EZ Solar JB-1.2 Junction Box, Comp Shingle",EZ Solar,JB-1.2,Polycarbonate,ROOFTOP-JUNCTION-BOX-EZ Solar-JB-1.2
"EZ Solar JB-1.2 Junction Box, Comp Shingle, XL",EZ Solar,JB-1.XL,Polycarbonate,ROOFTOP-JUNCTION-BOX-EZ Solar-JB-1.XL
"EZ Solar JB-2 Junction Box, Tile Roof",EZ Solar,JB-2,Polycarbonate,ROOFTOP-JUNCTION-BOX-EZ Solar-JB-2
"EZ Solar JB-2 Junction Box, Rail Mounted",EZ Solar,JB-3,Polycarbonate,ROOFTOP-JUNCTION-BOX-EZ Solar-JB-3
"SolaDeck Tile Rooftop Junction Box, Galvanized Steel, Grey",SolaDeck,0766-41AD,Steel,ROOFTOP-JUNCTION-BOX-SolaDeck-0766-41AD
"SolaDeck Comp Shingle Rooftop Junction Box, Galvanized Steel, 2-position Ground Block, Black",SolaDeck,0799-2B,Steel,ROOFTOP-JUNCTION-BOX-SolaDeck-0799-2B
"SolaDeck Comp Shingle Rooftop Junction Box, Galvanized Steel, 2-position Ground Block, Gray",SolaDeck,0799-2G,Steel,ROOFTOP-JUNCTION-BOX-SolaDeck-0799-2G
"SolaDeck Comp Shingle Rooftop Junction Box, Galvanized Steel, 5-position Ground Block, Black",SolaDeck,0799-5B,Steel,ROOFTOP-JUNCTION-BOX-SolaDeck-0799-5B
"SolaDeck Comp Shingle Rooftop Junction Box, Galvanized Steel, 5-position Ground Block, Gray",SolaDeck,0799-5G,Steel,ROOFTOP-JUNCTION-BOX-SolaDeck-0799-5G
Unirac E-Boss J-Box Mounting Bracket,Unirac,00802JB,Steel,ROOFTOP-JUNCTION-BOX-Unirac-00802JB
Unirac SoloBox Junction Box,Unirac,SOLOBOX,Plastic,ROOFTOP-JUNCTION-BOX-Unirac-SOLOBOX
Unirac SoloBox Junction Box with DIN Rail,Unirac,SOLOBOX-D,Plastic,ROOFTOP-JUNCTION-BOX-Unirac-SOLOBOX-D
