Description,Manufacturer,Part Number,Safety Type,Safety Size,BRSID
"3M 82694, 5/8 in",3M,0123,82694,,SAFETY-3M-0123
"3M Caution Tape, 100 ft",3M,50PRINTED2X100FT,Caution Tape,100 ft,SAFETY-3M-50PRINTED2X100FT
"3M Caution Tape, 1000 ft",3M,300-Y-3X1000FT,Caution Tape,1000 ft,SAFETY-3M-300-Y-3X1000FT
"3M Caution Tape, 1000 ft",3M,7010397987,Caution Tape,1000 ft,SAFETY-3M-7010397987
"3M Caution Tape, 1000 ft",3M,7000132906,Caution Tape,1000 ft,SAFETY-3M-7000132906
"3M Caution Tape, 1000 ft",3M,7000031774,Caution Tape,1000 ft,SAFETY-3M-7000031774
"3M Caution Tape, 1000 ft",3M,7010398056,Caution Tape,1000 ft,SAFETY-3M-7010398056
3M Caution Tape,3M,406,Caution Tape,,SAFETY-3M-406
3M Caution Tape,3M,300,Caution Tape,,SAFETY-3M-300
3M Caution Tape,3M,364,Caution Tape,,SAFETY-3M-364
3M Caution Tape,3M,302-R-3X1000FT,Caution Tape,,SAFETY-3M-302-R-3X1000FT
3M Caution Tape,3M,330-Y-3X1000FT,Caution Tape,,SAFETY-3M-330-Y-3X1000FT
3M Caution Tape,3M,7000132914,Caution Tape,,SAFETY-3M-7000132914
"3M Detectable Underground Tape, red",3M,7000031679,Detectable Underground Tape,red,SAFETY-3M-7000031679
"3M Detectable Underground Tape, red",3M,7000031679,Detectable Underground Tape,red,SAFETY-3M-7000031679
"3M Dust Mask, N95",3M,7100132742,Dust Mask,N95,SAFETY-3M-7100132742
"3M Dust Mask, N95",3M,7000002056,Dust Mask,N95,SAFETY-3M-7000002056
3M Dust Mask,3M,KN95,Dust Mask,,SAFETY-3M-KN95
3M Dust Mask,3M,8511PB1-A-PS,Dust Mask,,SAFETY-3M-8511PB1-A-PS
3M Earplugs,3M,P1301,Earplugs,,SAFETY-3M-P1301
"3M Fall Protection Kit, Single Person",3M,2199829,Fall Protection Kit,,SAFETY-3M-2199829
3M First Aid Kit,3M,94118-80025,First Aid Kit,,SAFETY-3M-94118-80025
"3M Gloves, L",3M,CGXLCRE,Gloves,L,SAFETY-3M-CGXLCRE
"3M Gloves, L",3M,CGL-GU,Gloves,L,SAFETY-3M-CGL-GU
"3M Gloves, L",3M,CGLCRE,Gloves,L,SAFETY-3M-CGLCRE
"3M Gloves, L",3M,CGLCR,Gloves,L,SAFETY-3M-CGLCR
"3M Gloves, M",3M,CGM-GU,Gloves,M,SAFETY-3M-CGM-GU
3M Gloves,3M,CGM-CR,Gloves,,SAFETY-3M-CGM-CR
3M Gloves,3M,7100097229,Gloves,,SAFETY-3M-7100097229
3M Gloves,3M,7010305066,Gloves,,SAFETY-3M-7010305066
3M Gloves,3M,7100097230,Gloves,,SAFETY-3M-7100097230
3M Gloves,3M,7100023421,Gloves,,SAFETY-3M-7100023421
"3M Gloves, XL",3M,CGXL-GU,Gloves,XL,SAFETY-3M-CGXL-GU
"3M Gloves, XL",3M,7010352931,Gloves,XL,SAFETY-3M-7010352931
3M Hard Hat,3M,H-801R-UV,Hard Hat,,SAFETY-3M-H-801R-UV
"3M Protective Coverall, XL",3M,4515-XL-WHITE,Protective Coverall,XL,SAFETY-3M-4515-XL-WHITE
"3M Respirator, N95",3M,8210,Respirator,N95,SAFETY-3M-8210
"3M Respirator, N95",3M,46457,Respirator,N95,SAFETY-3M-46457
"3M Respirator, N95",3M,9211+,Respirator,N95,SAFETY-3M-9211+
"3M Respirator, N95",3M,8511PRO,Respirator,N95,SAFETY-3M-8511PRO
"3M Respirator, N95",3M,558-704,Respirator,N95,SAFETY-3M-558-704
"3M Respirator, N95",3M,46457,Respirator,N95,SAFETY-3M-46457
"3M Respirator, N95",3M,8511,Respirator,N95,SAFETY-3M-8511
"3M Safety Glasses, Amber",3M,11524-00000-20,Safety Glasses,Amber,SAFETY-3M-11524-00000-20
"3M Safety Glasses, Clear",3M,11228-00000-100,Safety Glasses,Clear,SAFETY-3M-11228-00000-100
3M Safety Glasses,3M,SF416XASBLK,Safety Glasses,,SAFETY-3M-SF416XASBLK
3M Safety Glasses,3M,SF201AS,Safety Glasses,,SAFETY-3M-SF201AS
3M Safety Glasses,3M,11216,Safety Glasses,,SAFETY-3M-11216
3M Safety Glasses,3M,11215-00000-20,Safety Glasses,,SAFETY-3M-11215-00000-20
3M Safety Glasses,3M,SF201AF,Safety Glasses,,SAFETY-3M-SF201AF
