Description,Manufacturer,Part Number,Surge Protection Style,BRSID
"Eaton Surge Protective Device, Type CH, Plug-On Neutral",Eaton,CHPSURGE,Plug-On Breaker,SURGE-PROTECTION-Eaton-CHPSURGE
"Eaton Surge Protective Device, Type CH",Eaton,CHNSURGE,Plug-On Breaker,SURGE-PROTECTION-Eaton-CHNSURGE
"Eaton Surge Protective Device, Type BR, Plug-On Neutral",Eaton,BRPSURGE,Plug-On Breaker,SURGE-PROTECTION-Eaton-BRPSURGE
"Eaton Surge Protective Device, Type BR",Eaton,BRNSURGE,Plug-On Breaker,SURGE-PROTECTION-Eaton-BRNSURGE
"Square D QO Surge Protective Device, QO Surgebreaker",Square D QO,QO2175SB,Plug-On Breaker,SURGE-PROTECTION-Square-D-QO-QO2175SB
"Square D HOM Surge Protective Device, HOM Surgebreaker",Square D HOM,HOM2175SB,Plug-On Breaker,SURGE-PROTECTION-Square-D-HOM-HOM2175SB
"Square D HOM Surge Protective Device, Plug-On Neutral",Square D HOM,HOM250PSPD,Plug-On Breaker,SURGE-PROTECTION-Square-D-HOM-HOM250PSPD
"GE Whole Home Surge Protective Device, Type THQL",GE,THQLSURGE,Plug-On Breaker,SURGE-PROTECTION-GE-THQLSURGE
"Siemens BoltShield Surge Protective Device, Type QP",Siemens,QSPD2A065P,Plug-On Breaker,SURGE-PROTECTION-Siemens-QSPD2A065P
"Siemens BoltShield Surge Protective Device, Type QP",Siemens,QSPD2A035B,Plug-On Breaker,SURGE-PROTECTION-Siemens-QSPD2A035B
"MidNite Solar Surge Protection Device, 250 VAC",MidNite Solar,MNSPD-300-AC,Pigtail,SURGE-PROTECTION-MidNite-Solar-MNSPD-300-AC
"MidNite Solar Surge Protection Device, 480 VAC",MidNite Solar,MNSPD-600,Pigtail,SURGE-PROTECTION-MidNite-Solar-MNSPD-600
"Siemens Surge Protective Device, Built-in 20A duplex",Siemens,QSA2020SPD,Plug-On Breaker,SURGE-PROTECTION-Siemens-QSA2020SPD
"Square D HOM SurgeArrest, 80 kA",Square D HOM,HEPD80,Pigtail,SURGE-PROTECTION-Square-D-HOM-HEPD80
"Square D HOM SurgeArrest, 50 kA",Square D HOM,HEPD50,Pigtail,SURGE-PROTECTION-Square-D-HOM-HEPD50
Leviton Surge Protective Device w/ Two 20A Thermal Circuit Breakers,Leviton,LSPD2-T,Plug-On Breaker,SURGE-PROTECTION-Leviton-LSPD2-T
"Mersen-Ferraz Surge Protective Device, Surge-Trap STXH series",Mersen-Ferraz,STXH240S05,Pigtail,SURGE-PROTECTION-Mersen-Ferraz-STXH240S05
