Description,Manufacturer,Part Number,Tool Type,Tool Size,BRSID
"Abbott Rubber Tie-Down Strap, 31 in",Abbott Rubber,8100-3100-A,Tie-Down Strap,31 in,TOOLS-Abbott-Rubber-8100-3100-A
"Abbott Rubber Tie-Down Strap, 41 in",Abbott Rubber,8100-4100-A,Tie-Down Strap,41 in,TOOLS-Abbott-Rubber-8100-4100-A
Acme Tools Work Light,Acme Tools,NEB-WLT-006,Work Light,,TOOLS-Acme-Tools-NEB-WLT-006
"Allen Bradley Screwdriver Set, 5 piece",Allen Bradley,1492-N90,Screwdriver Set,5 piece,TOOLS-Allen-Bradley-1492-N90
"Ames Shovel, 54 in",Ames,47174,Shovel,54 in,TOOLS-Ames-47174
Amprobe Voltage Tester,Amprobe,AM-510,Voltage Tester,,TOOLS-Amprobe-AM-510
"Ancra Tie-Down Strap, 1 in x 6 ft, S-Hook, Bulk Bin",Ancra,95185,Tie-Down Strap,"1 in x 6 ft, S-Hook, Bulk Bin",TOOLS-Ancra-95185
Ancra Ratchet,Ancra,95370,Ratchet,,TOOLS-Ancra-95370
"Ancra Tie-Down Strap, 24 in",Ancra,95524-1,Tie-Down Strap,24 in,TOOLS-Ancra-95524-1
"Ancra Tie-Down Strap, 36 in",Ancra,95536-1,Tie-Down Strap,36 in,TOOLS-Ancra-95536-1
"Ancra Tie-Down Strap, 18 in",Ancra,95618,Tie-Down Strap,18 in,TOOLS-Ancra-95618
"Ancra Tie-Down Strap, 32 in",Ancra,95632,Tie-Down Strap,32 in,TOOLS-Ancra-95632
"Ancra Tie-Down Strap, 40 in",Ancra,95640,Tie-Down Strap,40 in,TOOLS-Ancra-95640
"Ancra Tie-Down Strap, 1 in x 6 ft, S-Hook, 4-pack",Ancra,SL27,Tie-Down Strap,"1 in x 6 ft, S-Hook, 4-pack",TOOLS-Ancra-SL27
"Ancra Bungee Cords, 6-Piece",Ancra,SL69,Bungee Cords,6-Piece,TOOLS-Ancra-SL69
"Ancra Tie-Down Strap, 1 in x 15 ft, S-Hook, 4-pack",Ancra,SL91,Tie-Down Strap,"1 in x 15 ft, S-Hook, 4-pack",TOOLS-Ancra-SL91
Bandit Headlamp,Bandit,61716,Headlamp,,TOOLS-Bandit-61716
"Berk-Tek Tie-Down Strap, 21 in",Berk-Tek,95821,Tie-Down Strap,21 in,TOOLS-Berk-Tek-95821
"Black & Decker Tool Battery, 18v",Black & Decker,DC9096-2,Tool Battery,18v,TOOLS-Black-&-Decker-DC9096-2
Black & Decker Vacuum,Black & Decker,DCV580H,Vacuum,,TOOLS-Black-&-Decker-DCV580H
"Bondhus Hex Key Set, 5 piece",Bondhus,27,Hex Key Set,5 piece,TOOLS-Bondhus-27
"Bosch Bell Hanger Bit, 1/4 x 18 in",Bosch,BH2001,Bell Hanger Bit,1/4 x 18 in,TOOLS-Bosch-BH2001
"Bosch Rotary Hammer Drill Bit, 1/4 x 14 in",Bosch,BOSCH HCFC2045,Rotary Hammer Drill Bit,1/4 x 14 in,TOOLS-Bosch-BOSCH-HCFC2045
