Description,Manufacturer,Part Number,Wire Management Type,BRSID
"Wiley Stainless Steel, 2 wire Module Cable Clip",Wiley,ACC-PV,Wire Clip,WIRE-MANAGEMENT-Wiley-ACC-PV
"Wiley Stainless Steel, 90 degree, 2 wire Module Cable Clip",Wiley,ACC-FPV90,Wire Clip,WIRE-MANAGEMENT-Wiley-ACC-FPV90
"Wiley Stainless Steel Wire Management Clip, Straight on, 1-2 PV Wires",Wiley,ACC-FPV,Wire Clip,WIRE-MANAGEMENT-Wiley-ACC-FPV
"Wiley Stainless Steel, 180 degree, 2 wire Module Cable Clip",Wiley,ACC-FPV180,Wire Clip,WIRE-MANAGEMENT-Wiley-ACC-FPV180
"Wiley Stainless Steel, 180 degree, 2 wire Module Cable Clip",Wiley,ACC-FF180,Wire Clip,WIRE-MANAGEMENT-Wiley-ACC-FF180
"Heavy Duty Metal Edge Clip, 1 3mm Panel Thickness, 5-7.6mm Cable Range",Hellermann Tyton,151-00982,Wire Clip,WIRE-MANAGEMENT-Hellermann-Tyton-151-00982
Heyco-Tite Liquid Tight Cordgrips for Enphase Q Cables,Heyco,M3234GDA-SM,Strain Relief Cord,WIRE-MANAGEMENT-Heyco-M3234GDA-SM
Heyco HEYClip Stainless Steel SunRunner 4-2 and 4-2U Cable Clips,Heyco,S6545,Wire Clip,WIRE-MANAGEMENT-Heyco-S6545
Heyco HEYClip Stainless Steel SunRunner 2-S Series Cable Clips,Heyco,S6448,Wire Clip,WIRE-MANAGEMENT-Heyco-S6448
Heyco HEYClip RevRunner Cable Clips for 1-2 Cables,Heyco,S6507,Wire Clip,WIRE-MANAGEMENT-Heyco-S6507
Heyco HEYClip Stainless Steel SunRunner 4-2 and 4-2U Cable Clips,Heyco,S6505,Wire Clip,WIRE-MANAGEMENT-Heyco-S6505
Heyco HEYClip Stainless Steel SunRunner® 2-S Series Cable Clips,Heyco,S6488,Wire Clip,WIRE-MANAGEMENT-Heyco-S6488
Heyco HEYClip SunRunner Cable Clip,Heyco,S6405,Wire Clip,WIRE-MANAGEMENT-Heyco-S6405
Heyco HEYClip Stainless Steel SunRunner 2 SeriesCable Clips,Heyco,S6404,Wire Clip,WIRE-MANAGEMENT-Heyco-S6404
Heyco HEYClip SunRunner Cable Clip,Heyco,S6445,Wire Clip,WIRE-MANAGEMENT-Heyco-S6445
Heyco HEYClip SunRunner 90° Cable Clips,Heyco,S6406,Wire Clip,WIRE-MANAGEMENT-Heyco-S6406
Heyco HEYClip SunRunner Cable Clips for 4 Cables,Heyco,S6443,Wire Clip,WIRE-MANAGEMENT-Heyco-S6443
Heyco HEYClip SunRunner Cable Clips for 1-2 Cables,Heyco,S6490,Wire Clip,WIRE-MANAGEMENT-Heyco-S6490
Heyco HEYClip Stainless Steel SunRunner 2 SeriesCable Clips,Heyco,S6441,Wire Clip,WIRE-MANAGEMENT-Heyco-S6441
"Nine Fasteners Stainless Steel PV Wire Cable Clip, 1 or 2 #10 USE Cables",Nine Fasteners,DCS-1306,Wire Clip,WIRE-MANAGEMENT-Nine-Fasteners-DCS-1306
"Panduit Solar Edge Clip, Stainless Steel, Clip-on, 0.6 x 0.5 in, Pack of 100",Panduit,MEC125-4PV-C,Wire Clip,WIRE-MANAGEMENT-Panduit-MEC125-4PV-C
