Description,Conductor,Wire Gauge,Sequence,Wire Type,Wire Color,Wire Stranding,Conductor Quantity,BRSID
"10 AWG Copper THHN/THWN-2, Black",Copper,10,10,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-10-THHN-THWN-2-Black-Stranded
"10 AWG Copper THHN/THWN-2, Red",Copper,10,10,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-10-THHN-THWN-2-Red-Stranded
"10 AWG Copper THHN/THWN-2, White",Copper,10,10,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-10-THHN-THWN-2-White-Stranded
"10 AWG Copper THHN/THWN-2, Green",Copper,10,10,"THHN, THWN-2",Green,Stranded,1,WIRE-Copper-10-THHN-THWN-2-Green-Stranded
"8 AWG Copper THHN/THWN-2, Black",Copper,8,8,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-8-THHN-THWN-2-Black-Stranded
"8 AWG Copper THHN/THWN-2, Red",Copper,8,8,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-8-THHN-THWN-2-Red-Stranded
"8 AWG Copper THHN/THWN-2, White",Copper,8,8,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-8-THHN-THWN-2-White-Stranded
"8 AWG Copper THHN/THWN-2, Green",Copper,8,8,"THHN, THWN-2",Green,Stranded,1,WIRE-Copper-8-THHN-THWN-2-Green-Stranded
"6 AWG Copper THHN/THWN-2, Black",Copper,6,6,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-6-THHN-THWN-2-Black-Stranded
"6 AWG Copper THHN/THWN-2, Red",Copper,6,6,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-6-THHN-THWN-2-Red-Stranded
"6 AWG Copper THHN/THWN-2, White",Copper,6,6,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-6-THHN-THWN-2-White-Stranded
"6 AWG Copper THHN/THWN-2, Green",Copper,6,6,"THHN, THWN-2",Green,Stranded,1,WIRE-Copper-6-THHN-THWN-2-Green-Stranded
"4 AWG Copper THHN/THWN-2, Black",Copper,4,4,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-4-THHN-THWN-2-Black-Stranded
"4 AWG Copper THHN/THWN-2, Red",Copper,4,4,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-4-THHN-THWN-2-Red-Stranded
"4 AWG Copper THHN/THWN-2, White",Copper,4,4,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-4-THHN-THWN-2-White-Stranded
"4 AWG Copper THHN/THWN-2, Green",Copper,4,4,"THHN, THWN-2",Green,Stranded,1,WIRE-Copper-4-THHN-THWN-2-Green-Stranded
"3 AWG Copper THHN/THWN-2, Black",Copper,3,3,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-3-THHN-THWN-2-Black-Stranded
"3 AWG Copper THHN/THWN-2, Red",Copper,3,3,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-3-THHN-THWN-2-Red-Stranded
"3 AWG Copper THHN/THWN-2, White",Copper,3,3,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-3-THHN-THWN-2-White-Stranded
"2 AWG Copper THHN/THWN-2, Black",Copper,2,2,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-2-THHN-THWN-2-Black-Stranded
"2 AWG Copper THHN/THWN-2, Red",Copper,2,2,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-2-THHN-THWN-2-Red-Stranded
"2 AWG Copper THHN/THWN-2, White",Copper,2,2,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-2-THHN-THWN-2-White-Stranded
"1 AWG Copper THHN/THWN-2, Black",Copper,1,1,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-1-THHN-THWN-2-Black-Stranded
"1 AWG Copper THHN/THWN-2, Red",Copper,1,1,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-1-THHN-THWN-2-Red-Stranded
"1 AWG Copper THHN/THWN-2, White",Copper,1,1,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-1-THHN-THWN-2-White-Stranded
"1/0 AWG Copper THHN/THWN-2, Black",Copper,Jan-00,Jan-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-1/0-THHN-THWN-2-Black-Stranded
"1/0 AWG Copper THHN/THWN-2, Red",Copper,Jan-00,Jan-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-1/0-THHN-THWN-2-Red-Stranded
"1/0 AWG Copper THHN/THWN-2, White",Copper,Jan-00,Jan-00,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-1/0-THHN-THWN-2-White-Stranded
"2/0 AWG Copper THHN/THWN-2, Black",Copper,Feb-00,Feb-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-2/0-THHN-THWN-2-Black-Stranded
"2/0 AWG Copper THHN/THWN-2, Red",Copper,Feb-00,Feb-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-2/0-THHN-THWN-2-Red-Stranded
"2/0 AWG Copper THHN/THWN-2, White",Copper,Feb-00,Feb-00,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-2/0-THHN-THWN-2-White-Stranded
"3/0 AWG Copper THHN/THWN-2, Black",Copper,Mar-00,Mar-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-3/0-THHN-THWN-2-Black-Stranded
"3/0 AWG Copper THHN/THWN-2, Red",Copper,Mar-00,Mar-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-3/0-THHN-THWN-2-Red-Stranded
"3/0 AWG Copper THHN/THWN-2, White",Copper,Mar-00,Mar-00,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-3/0-THHN-THWN-2-White-Stranded
"4/0 AWG Copper THHN/THWN-2, Black",Copper,Apr-00,Apr-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Copper-4/0-THHN-THWN-2-Black-Stranded
"4/0 AWG Copper THHN/THWN-2, Red",Copper,Apr-00,Apr-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Copper-4/0-THHN-THWN-2-Red-Stranded
"4/0 AWG Copper THHN/THWN-2, White",Copper,Apr-00,Apr-00,"THHN, THWN-2",White,Stranded,1,WIRE-Copper-4/0-THHN-THWN-2-White-Stranded
"6 AWG Copper XHHW-2, Black",Copper,6,6,XHHW-2,Black,Stranded,1,WIRE-Copper-6-XHHW-2-Black-Stranded
"6 AWG Copper XHHW-2, Red",Copper,6,6,XHHW-2,Red,Stranded,1,WIRE-Copper-6-XHHW-2-Red-Stranded
"6 AWG Copper XHHW-2, White",Copper,6,6,XHHW-2,White,Stranded,1,WIRE-Copper-6-XHHW-2-White-Stranded
"6 AWG Copper XHHW-2, Green",Copper,6,6,XHHW-2,Green,Stranded,1,WIRE-Copper-6-XHHW-2-Green-Stranded
"10 AWG Copper PV Wire, Black",Copper,10,10,PV WIRE,Black,Stranded,1,WIRE-Copper-10-PV WIRE-Black-Stranded
"6 AWG Bare Copper, Solid",Copper,6,6,Bare,,Solid,1,WIRE-Copper-6-Bare-Solid
"6 AWG Bare Copper, Stranded",Copper,6,6,Bare,,Stranded,1,WIRE-Copper-6-Bare-Stranded
"4 AWG Bare Copper, Solid",Copper,4,4,Bare,,Solid,1,WIRE-Copper-4-Bare-Solid
"4 AWG Bare Copper, Stranded",Copper,4,4,Bare,,Stranded,1,WIRE-Copper-4-Bare-Stranded
"14-2 NM-B W/G, Copper",Copper,14,14/2,NM-B,White,Solid,3,WIRE-Copper-14/2-NM-B-White-Solid
"12-2 NM-B W/G, Copper",Copper,12,2-Dec,NM-B,Yellow,Solid,3,WIRE-Copper-12/2-NM-B-Yellow-Solid
"10-2 NM-B W/G, Copper",Copper,10,2-Oct,NM-B,Orange,Solid,3,WIRE-Copper-10/2-NM-B-Orange-Solid
"8-2 NM-B W/G, Copper",Copper,8,2-Aug,NM-B,Black,Stranded,3,WIRE-Copper-8/2-NM-B-Black-Stranded
"6-2 NM-B W/G, Copper",Copper,6,2-Jun,NM-B,Black,Stranded,3,WIRE-Copper-6/2-NM-B-Black-Stranded
"14-3 NM-B W/G, Copper",Copper,14,14/3,NM-B,White,Solid,4,WIRE-Copper-14/3-NM-B-White-Solid
"12-3 NM-B W/G, Copper",Copper,12,3-Dec,NM-B,Yellow,Solid,4,WIRE-Copper-12/3-NM-B-Yellow-Solid
"10-3 NM-B W/G, Copper",Copper,10,3-Oct,NM-B,Orange,Solid,4,WIRE-Copper-10/3-NM-B-Orange-Solid
"8-3 NM-B W/G, Copper",Copper,8,3-Aug,NM-B,Black,Stranded,4,WIRE-Copper-8/3-NM-B-Black-Stranded
"6-3 NM-B W/G, Copper",Copper,6,3-Jun,NM-B,Black,Stranded,4,WIRE-Copper-6/3-NM-B-Black-Stranded
